Time,target_send_rate,total_file_size_bytes,total_dir_size_bytes
0.0000,10.0000,92147.6268,92147.6268
1.0000,10.0000,184295.2536,184295.2536
2.0000,10.0000,276442.8804,276442.8804
3.0000,19.2200,517435.7532,517435.7532
4.0000,40.6200,1103904.5754,1103904.5754
5.0000,10.0000,1196052.2022,1196052.2022
6.0000,32.3300,1648689.4536,1648689.4536
7.0000,10.0000,1740837.0804,1740837.0804
8.0000,47.4700,2437890.4944,2437890.4944
9.0000,10.0000,2530038.1212,2530038.1212
10.0000,11.8500,2652051.6594,2652051.6594
11.0000,10.0000,2744199.2862,2744199.2862
12.0000,10.0000,2836346.9130,2836346.9130
13.0000,10.0000,2928494.5398,2928494.5398
14.0000,10.0000,3020642.1666,3020642.1666
15.0000,11.3900,3135229.5864,3135229.5864
16.0000,14.0700,3293082.2190,3293082.2190
17.0000,10.0000,3385229.8458,3385229.8458
18.0000,10.0000,3477377.4726,3477377.4726
19.0000,10.0000,3569525.0994,3569525.0994
20.0000,17.1000,3776293.2516,3776293.2516
21.0000,10.0000,3868440.8784,3868440.8784
22.0000,16.7800,4070043.0354,4070043.0354
23.0000,10.0000,4162190.6622,4162190.6622
24.0000,10.0000,4254338.2890,4254338.2890
25.0000,10.0000,4346485.9158,4346485.9158
26.0000,10.0000,4438633.5426,4438633.5426
27.0000,10.0000,4530781.1694,4530781.1694
28.0000,10.0000,4622928.7962,4622928.7962
29.0000,24.5400,4949806.3440,4949806.3440
30.0000,115.7200,6748669.7382,6748669.7382
31.0000,10.0000,6840817.3650,6840817.3650
32.0000,10.0000,6932964.9918,6932964.9918
33.0000,27.7900,7312309.6818,7312309.6818
34.0000,35.0500,7808857.8948,7808857.8948
35.0000,26.7400,8171251.6620,8171251.6620
36.0000,10.0000,8263399.2888,8263399.2888
37.0000,31.1000,8696179.7448,8696179.7448
38.0000,10.0000,8788327.3716,8788327.3716
39.0000,28.2100,9174452.4306,9174452.4306
40.0000,23.8100,9489545.0514,9489545.0514
41.0000,10.0000,9581692.6782,9581692.6782
42.0000,16.0700,9771832.7826,9771832.7826
43.0000,10.0000,9863980.4094,9863980.4094
44.0000,24.1700,10184884.7748,10184884.7748
45.0000,29.3700,10589736.5676,10589736.5676
46.0000,10.0000,10681884.1944,10681884.1944
47.0000,25.7800,11028779.9748,11028779.9748
48.0000,10.0000,11120927.6016,11120927.6016
49.0000,10.0000,11213075.2284,11213075.2284
50.0000,10.0000,11305222.8552,11305222.8552
51.0000,21.1900,11578018.8876,11578018.8876
52.0000,10.0000,11670166.5144,11670166.5144
53.0000,10.0000,11762314.1412,11762314.1412
54.0000,10.0000,11854461.7680,11854461.7680
55.0000,10.0000,11946609.3948,11946609.3948
56.0000,11.3000,12059743.8786,12059743.8786
57.0000,10.0000,12151891.5054,12151891.5054
58.0000,42.3100,12765643.2414,12765643.2414
59.0000,10.0000,12857790.8682,12857790.8682
60.0000,10.0000,12949938.4950,12949938.4950
61.0000,10.0000,13042086.1218,13042086.1218
62.0000,10.0000,13134233.7486,13134233.7486
63.0000,28.0600,13517937.2472,13517937.2472
64.0000,53.8400,14317826.2590,14317826.2590
65.0000,11.8600,14440001.2350,14440001.2350
66.0000,10.0000,14532148.8618,14532148.8618
67.0000,23.8600,14848048.6692,14848048.6692
68.0000,13.7800,15001219.6182,15001219.6182
69.0000,10.0000,15093367.2450,15093367.2450
70.0000,10.3400,15191003.7420,15191003.7420
71.0000,41.2100,15786997.3686,15786997.3686
72.0000,10.0000,15879144.9954,15879144.9954
73.0000,10.0000,15971292.6222,15971292.6222
74.0000,10.0000,16063440.2490,16063440.2490
75.0000,47.4600,16760332.2258,16760332.2258
76.0000,10.0000,16852479.8526,16852479.8526
77.0000,27.8600,17232954.6042,17232954.6042
78.0000,29.8100,17644909.6410,17644909.6410
79.0000,10.0000,17737057.2678,17737057.2678
80.0000,10.0000,17829204.8946,17829204.8946
81.0000,26.8900,18194020.2222,18194020.2222
82.0000,10.0000,18286167.8490,18286167.8490
83.0000,36.9600,18813550.5978,18813550.5978
84.0000,10.0000,18905698.2246,18905698.2246
85.0000,23.6000,19217400.6606,19217400.6606
86.0000,10.0000,19309548.2874,19309548.2874
87.0000,10.0000,19401695.9142,19401695.9142
88.0000,10.0000,19493843.5410,19493843.5410
89.0000,43.0700,20119864.5168,20119864.5168
90.0000,10.0000,20212012.1436,20212012.1436
91.0000,10.0000,20304159.7704,20304159.7704
92.0000,18.7500,20537565.0870,20537565.0870
93.0000,51.9900,21307588.1874,21307588.1874
94.0000,50.4400,22052588.4972,22052588.4972
95.0000,10.0000,22144736.1240,22144736.1240
96.0000,10.0000,22236883.7508,22236883.7508
97.0000,10.0000,22329031.3776,22329031.3776
98.0000,24.4200,22653971.6772,22653971.6772
99.0000,36.4900,23173766.8698,23173766.8698
100.0000,31.8800,23619139.4400,23619139.4400
101.0000,54.4800,24429360.4428,24429360.4428
102.0000,10.0000,24521508.0696,24521508.0696
103.0000,66.2200,25521256.5330,25521256.5330
104.0000,44.8500,26176013.3586,26176013.3586
105.0000,10.0000,26268160.9854,26268160.9854
106.0000,11.2400,26380326.8448,26380326.8448
107.0000,10.0000,26472474.4716,26472474.4716
108.0000,10.0000,26564622.0984,26564622.0984
109.0000,10.0000,26656769.7252,26656769.7252
110.0000,39.8000,27230000.6844,27230000.6844
111.0000,10.0000,27322148.3112,27322148.3112
112.0000,12.4300,27453525.2166,27453525.2166
113.0000,10.0000,27545672.8434,27545672.8434
114.0000,47.6200,28245147.8178,28245147.8178
115.0000,28.1000,28629497.0658,28629497.0658
116.0000,38.8200,29186907.1632,29186907.1632
117.0000,47.4100,29882991.9528,29882991.9528
118.0000,10.0000,29975139.5796,29975139.5796
119.0000,10.0000,30067287.2064,30067287.2064
120.0000,26.2600,30421931.9802,30421931.9802
121.0000,10.0000,30514079.6070,30514079.6070
122.0000,10.0000,30606227.2338,30606227.2338
123.0000,28.2300,30992675.1678,30992675.1678
124.0000,10.0000,31084822.7946,31084822.7946
125.0000,10.0000,31176970.4214,31176970.4214
126.0000,10.0000,31269118.0482,31269118.0482
127.0000,26.0900,31621018.3872,31621018.3872
128.0000,10.0000,31713166.0140,31713166.0140
129.0000,10.0000,31805313.6408,31805313.6408
130.0000,81.4400,33050769.7656,33050769.7656
131.0000,15.9300,33238649.7468,33238649.7468
132.0000,10.0000,33330797.3736,33330797.3736
133.0000,10.0000,33422945.0004,33422945.0004
134.0000,10.0000,33515092.6272,33515092.6272
135.0000,38.5800,34068628.2282,34068628.2282
136.0000,10.0000,34160775.8550,34160775.8550
137.0000,18.6800,34393051.1100,34393051.1100
138.0000,41.4000,34992112.0464,34992112.0464
139.0000,36.4700,35511584.3646,35511584.3646
140.0000,10.0000,35603731.9914,35603731.9914
141.0000,43.3200,36233788.9008,36233788.9008
142.0000,42.7800,36855128.1930,36855128.1930
143.0000,19.0000,37092569.4438,37092569.4438
144.0000,10.0000,37184717.0706,37184717.0706
145.0000,53.7800,37983637.4586,37983637.4586
146.0000,35.4000,38485835.9790,38485835.9790
147.0000,10.0000,38577983.6058,38577983.6058
148.0000,49.3800,39305871.5556,39305871.5556
149.0000,10.0000,39398019.1824,39398019.1824
150.0000,12.3600,39528266.0262,39528266.0262
151.0000,10.0000,39620413.6530,39620413.6530
152.0000,10.0000,39712561.2798,39712561.2798
153.0000,10.0000,39804708.9066,39804708.9066
154.0000,22.1400,40092841.4880,40092841.4880
155.0000,38.2400,40640888.2188,40640888.2188
156.0000,13.3800,40787601.6732,40787601.6732
157.0000,10.0000,40879749.3000,40879749.3000
158.0000,10.0000,40971896.9268,40971896.9268
159.0000,13.4600,41119901.8800,41119901.8800
160.0000,10.0000,41212049.5068,41212049.5068
161.0000,26.7400,41574443.2740,41574443.2740
162.0000,57.2600,42429543.8628,42429543.8628
163.0000,10.0000,42521691.4896,42521691.4896
164.0000,13.0000,42662270.3244,42662270.3244
165.0000,10.0000,42754417.9512,42754417.9512
166.0000,10.0000,42846565.5780,42846565.5780
167.0000,10.0000,42938713.2048,42938713.2048
168.0000,10.0000,43030860.8316,43030860.8316
169.0000,10.0000,43123008.4584,43123008.4584
170.0000,32.2700,43574677.0854,43574677.0854
171.0000,10.0000,43666824.7122,43666824.7122
172.0000,25.4000,44007585.8730,44007585.8730
173.0000,10.0000,44099733.4998,44099733.4998
174.0000,10.0000,44191881.1266,44191881.1266
175.0000,10.0000,44284028.7534,44284028.7534
176.0000,10.0000,44376176.3802,44376176.3802
177.0000,10.0000,44468324.0070,44468324.0070
178.0000,10.5800,44569835.0010,44569835.0010
