Time,target_send_rate,total_file_size_bytes,total_dir_size_bytes
0.0000,10.0000,92147.6268,92147.6268
1.0000,14.1600,251453.1954,251453.1954
2.0000,36.7900,776091.5088,776091.5088
3.0000,10.0000,868239.1356,868239.1356
4.0000,10.0000,960386.7624,960386.7624
5.0000,10.0000,1052534.3892,1052534.3892
6.0000,10.0000,1144682.0160,1144682.0160
7.0000,13.0200,1285583.7258,1285583.7258
8.0000,10.0000,1377731.3526,1377731.3526
9.0000,23.8000,1692662.5362,1692662.5362
10.0000,16.2600,1885869.9504,1885869.9504
11.0000,10.0000,1978017.5772,1978017.5772
12.0000,10.0000,2070165.2040,2070165.2040
13.0000,10.0000,2162312.8308,2162312.8308
14.0000,10.0000,2254460.4576,2254460.4576
15.0000,10.4900,2354518.5150,2354518.5150
16.0000,10.0000,2446666.1418,2446666.1418
17.0000,10.0000,2538813.7686,2538813.7686
18.0000,10.0000,2630961.3954,2630961.3954
19.0000,23.3100,2937982.1484,2937982.1484
20.0000,10.0000,3030129.7752,3030129.7752
21.0000,10.0000,3122277.4020,3122277.4020
22.0000,15.0600,3296112.3330,3296112.3330
23.0000,41.0700,3889845.8364,3889845.8364
24.0000,10.0000,3981993.4632,3981993.4632
25.0000,10.0000,4074141.0900,4074141.0900
26.0000,10.0000,4166288.7168,4166288.7168
27.0000,10.0000,4258436.3436,4258436.3436
28.0000,10.0000,4350583.9704,4350583.9704
29.0000,17.7400,4567684.1136,4567684.1136
30.0000,10.0000,4659831.7404,4659831.7404
31.0000,23.6400,4972179.9258,4972179.9258
32.0000,10.0000,5064327.5526,5064327.5526
33.0000,10.0000,5156475.1794,5156475.1794
34.0000,10.0000,5248622.8062,5248622.8062
35.0000,10.0000,5340770.4330,5340770.4330
36.0000,17.5200,5554318.9542,5554318.9542
37.0000,10.0000,5646466.5810,5646466.5810
38.0000,27.4900,6020968.1502,6020968.1502
39.0000,10.0000,6113115.7770,6113115.7770
40.0000,10.0000,6205263.4038,6205263.4038
41.0000,10.0000,6297411.0306,6297411.0306
42.0000,10.0000,6389558.6574,6389558.6574
43.0000,10.0000,6481706.2842,6481706.2842
44.0000,10.0000,6573853.9110,6573853.9110
45.0000,10.0000,6666001.5378,6666001.5378
46.0000,10.0000,6758149.1646,6758149.1646
47.0000,21.3800,7034012.5068,7034012.5068
48.0000,10.0000,7126160.1336,7126160.1336
49.0000,30.9600,7556680.4664,7556680.4664
50.0000,10.0000,7648828.0932,7648828.0932
51.0000,24.7200,7978611.5136,7978611.5136
52.0000,10.0000,8070759.1404,8070759.1404
53.0000,10.0000,8162906.7672,8162906.7672
54.0000,17.7600,8380329.7854,8380329.7854
55.0000,10.0000,8472477.4122,8472477.4122
56.0000,10.0000,8564625.0390,8564625.0390
57.0000,16.1300,8755733.7672,8755733.7672
58.0000,10.0000,8847881.3940,8847881.3940
59.0000,10.0000,8940029.0208,8940029.0208
60.0000,26.8800,9304682.9112,9304682.9112
61.0000,10.0000,9396830.5380,9396830.5380
62.0000,15.8900,9584064.7698,9584064.7698
63.0000,30.1300,10001185.8018,10001185.8018
64.0000,16.7700,10202626.5210,10202626.5210
65.0000,10.0000,10294774.1478,10294774.1478
66.0000,10.0000,10386921.7746,10386921.7746
67.0000,10.0000,10479069.4014,10479069.4014
68.0000,27.3800,10851795.1596,10851795.1596
69.0000,16.9800,11056626.0636,11056626.0636
70.0000,17.7300,11273564.7696,11273564.7696
71.0000,10.0000,11365712.3964,11365712.3964
72.0000,10.0000,11457860.0232,11457860.0232
73.0000,15.2900,11635408.0134,11635408.0134
74.0000,10.0000,11727555.6402,11727555.6402
75.0000,30.3400,12148066.8570,12148066.8570
76.0000,25.0900,12483823.4598,12483823.4598
77.0000,37.0600,13012820.5824,13012820.5824
78.0000,10.0000,13104968.2092,13104968.2092
79.0000,14.5400,13270408.3974,13270408.3974
80.0000,29.8100,13682363.4342,13682363.4342
81.0000,12.7700,13819229.2098,13819229.2098
82.0000,21.2900,14093639.6160,14093639.6160
83.0000,10.7700,14198217.9198,14198217.9198
84.0000,10.0000,14290365.5466,14290365.5466
85.0000,22.6200,14586247.1214,14586247.1214
86.0000,10.0000,14678394.7482,14678394.7482
87.0000,15.7700,14863691.7318,14863691.7318
88.0000,13.6400,15014602.5576,15014602.5576
89.0000,10.0000,15106750.1844,15106750.1844
90.0000,10.0000,15198897.8112,15198897.8112
91.0000,10.0000,15291045.4380,15291045.4380
92.0000,38.5300,15843773.8524,15843773.8524
93.0000,25.8400,16191638.2572,16191638.2572
94.0000,36.9300,16718536.6938,16718536.6938
95.0000,22.8500,17018131.3278,17018131.3278
96.0000,15.2300,17194710.6936,17194710.6936
97.0000,10.0000,17286858.3204,17286858.3204
98.0000,14.2500,17447616.8250,17447616.8250
99.0000,10.0000,17539764.4518,17539764.4518
100.0000,10.0000,17631912.0786,17631912.0786
101.0000,26.2700,17986718.2896,17986718.2896
102.0000,48.5500,18701206.9386,18701206.9386
103.0000,10.0000,18793354.5654,18793354.5654
104.0000,10.0000,18885502.1922,18885502.1922
105.0000,11.3700,18999766.7376,18999766.7376
106.0000,10.0000,19091914.3644,19091914.3644
107.0000,38.4500,19643351.2800,19643351.2800
108.0000,10.0000,19735498.9068,19735498.9068
109.0000,27.1900,20105157.3552,20105157.3552
110.0000,10.0000,20197304.9820,20197304.9820
111.0000,38.8400,20755037.9544,20755037.9544
112.0000,10.9300,20862199.2558,20862199.2558
113.0000,35.4200,21364720.6512,21364720.6512
114.0000,44.6700,22016571.6042,22016571.6042
115.0000,32.8000,22476796.4112,22476796.4112
116.0000,16.7500,22677914.2560,22677914.2560
117.0000,12.1400,22804609.4778,22804609.4778
118.0000,10.0000,22896757.1046,22896757.1046
119.0000,13.8500,23051058.1152,23051058.1152
120.0000,15.4300,23230866.2286,23230866.2286
121.0000,10.0000,23323013.8554,23323013.8554
122.0000,10.0000,23415161.4822,23415161.4822
123.0000,10.0000,23507309.1090,23507309.1090
124.0000,23.5100,23817558.6090,23817558.6090
125.0000,31.0600,24249693.3156,24249693.3156
126.0000,32.0800,24698294.6328,24698294.6328
127.0000,10.0000,24790442.2596,24790442.2596
128.0000,58.7100,25668951.2658,25668951.2658
129.0000,12.5200,25801781.1072,25801781.1072
130.0000,47.5600,26500287.4572,26500287.4572
131.0000,15.5300,26681709.9438,26681709.9438
132.0000,31.1000,27114490.3998,27114490.3998
133.0000,13.3800,27261203.8542,27261203.8542
134.0000,10.0000,27353351.4810,27353351.4810
135.0000,15.7000,27537518.4030,27537518.4030
136.0000,49.2400,28263146.2296,28263146.2296
137.0000,43.1100,28889812.9548,28889812.9548
138.0000,10.0000,28981960.5816,28981960.5816
139.0000,59.9600,29880649.2576,29880649.2576
140.0000,24.6300,30208979.7420,30208979.7420
141.0000,10.0000,30301127.3688,30301127.3688
142.0000,11.9000,30423948.0942,30423948.0942
143.0000,10.0000,30516095.7210,30516095.7210
144.0000,10.0000,30608243.3478,30608243.3478
145.0000,10.0000,30700390.9746,30700390.9746
146.0000,40.3500,31282500.9882,31282500.9882
147.0000,10.0000,31374648.6150,31374648.6150
148.0000,16.3500,31569308.9652,31569308.9652
149.0000,36.8600,32095077.3402,32095077.3402
150.0000,31.3700,32532216.6048,32532216.6048
151.0000,10.7600,32636633.4708,32636633.4708
152.0000,30.4900,33059566.2480,33059566.2480
153.0000,10.0000,33151713.8748,33151713.8748
154.0000,19.4300,33396096.9318,33396096.9318
155.0000,10.0000,33488244.5586,33488244.5586
156.0000,10.9500,33595728.7344,33595728.7344
157.0000,32.2200,34046590.1748,34046590.1748
158.0000,33.6200,34520052.8454,34520052.8454
159.0000,15.3000,34697762.2728,34697762.2728
160.0000,10.0000,34789909.8996,34789909.8996
161.0000,10.0000,34882057.5264,34882057.5264
162.0000,10.0000,34974205.1532,34974205.1532
163.0000,40.1000,35552279.2332,35552279.2332
164.0000,10.0000,35644426.8600,35644426.8600
165.0000,62.8000,36588963.7464,36588963.7464
166.0000,35.1300,37086803.4582,37086803.4582
167.0000,22.4700,37380263.4726,37380263.4726
168.0000,34.4700,37867448.3190,37867448.3190
169.0000,32.2100,38318148.3216,38318148.3216
170.0000,10.0000,38410295.9484,38410295.9484
171.0000,31.1700,38844206.4660,38844206.4660
172.0000,10.0000,38936354.0928,38936354.0928
173.0000,10.0000,39028501.7196,39028501.7196
174.0000,27.7400,39407039.2224,39407039.2224
175.0000,18.3500,39633987.0444,39633987.0444
176.0000,16.7700,39835427.7636,39835427.7636
177.0000,10.0000,39927575.3904,39927575.3904
178.0000,10.0000,40019723.0172,40019723.0172
179.0000,10.0000,40111870.6440,40111870.6440
180.0000,10.0000,40204018.2708,40204018.2708
181.0000,29.0600,40603865.5056,40603865.5056
182.0000,13.7700,40756875.0174,40756875.0174
183.0000,26.6500,41117815.8480,41117815.8480
184.0000,36.7700,41642131.2870,41642131.2870
185.0000,53.5500,42437338.6158,42437338.6158
186.0000,71.0400,43514899.8864,43514899.8864
187.0000,44.5000,44164006.4046,44164006.4046
188.0000,19.8300,44414846.9562,44414846.9562
189.0000,10.0000,44506994.5830,44506994.5830
190.0000,36.1100,45020655.1560,45020655.1560
191.0000,57.7700,45883989.0504,45883989.0504
192.0000,10.0000,45976136.6772,45976136.6772
193.0000,35.3200,46477043.6988,46477043.6988
194.0000,10.0000,46569191.3256,46569191.3256
195.0000,12.7500,46705734.2262,46705734.2262
196.0000,40.6400,47292525.9234,47292525.9234
197.0000,26.1000,47644587.6996,47644587.6996
198.0000,31.7500,48087861.5838,48087861.5838
199.0000,22.3100,48378738.6006,48378738.6006
200.0000,35.7300,48886264.5540,48886264.5540
201.0000,10.0000,48978412.1808,48978412.1808
202.0000,34.6900,49469148.6492,49469148.6492
203.0000,18.8800,49704652.6518,49704652.6518
204.0000,32.8700,50166007.5204,50166007.5204
205.0000,15.4900,50346784.2576,50346784.2576
206.0000,25.7500,50693195.7258,50693195.7258
207.0000,18.5600,50923533.7326,50923533.7326
208.0000,10.0000,51015681.3594,51015681.3594
209.0000,47.8900,51719515.1424,51719515.1424
210.0000,20.9700,51988759.5528,51988759.5528
211.0000,10.0000,52080907.1796,52080907.1796
212.0000,10.0000,52173054.8064,52173054.8064
213.0000,10.0000,52265202.4332,52265202.4332
214.0000,18.0200,52486822.8228,52486822.8228
215.0000,25.5700,52830328.4190,52830328.4190
216.0000,34.8700,53323970.7594,53323970.7594
217.0000,28.6000,53716391.8752,53716391.8752
218.0000,28.0700,54100256.8110,54100256.8110
219.0000,25.8500,54448282.6530,54448282.6530
220.0000,80.4300,55677433.6044,55677433.6044
221.0000,50.1700,56418075.1056,56418075.1056
222.0000,22.5700,56713149.4938,56713149.4938
223.0000,26.9100,57078287.6958,57078287.6958
224.0000,32.3100,57530602.0722,57530602.0722
225.0000,55.2700,58353576.6264,58353576.6264
226.0000,37.5900,58891129.9290,58891129.9290
227.0000,10.2800,58987797.8022,58987797.8022
228.0000,10.0000,59079945.4290,59079945.4290
229.0000,29.5300,59487380.2194,59487380.2194
230.0000,10.0000,59579527.8462,59579527.8462
231.0000,16.5900,59778062.6934,59778062.6934
232.0000,10.0000,59870210.3202,59870210.3202
233.0000,12.9200,60009497.6562,60009497.6562
