Time,target_send_rate,total_size_bytes,total_dir_size_bytes
0.0000,40.8500,590181.8820,590181.8820
1.0000,27.3100,961777.5786,1551959.4606
2.0000,10.0000,1053925.2054,2605884.6660
3.0000,10.0000,1146072.8322,3751957.4982
4.0000,10.0000,1238220.4590,4990177.9572
5.0000,10.0000,1330368.0858,6320546.0430
6.0000,10.0000,1422515.7126,7743061.7556
7.0000,10.0000,1514663.3394,9257725.0950
8.0000,10.0000,1606810.9662,10864536.0612
9.0000,36.7800,2131287.8424,12995823.9036
10.0000,10.0000,2223435.4692,15219259.3728
11.0000,10.0000,2315583.0960,17534842.4688
12.0000,45.2100,2976151.6668,20510994.1356
13.0000,42.7700,3597329.5218,24108323.6574
14.0000,10.0000,3689477.1486,27797800.8060
15.0000,10.0000,3781624.7754,31579425.5814
16.0000,10.0000,3873772.4022,35453197.9836
17.0000,10.0000,3965920.0290,39419118.0126
18.0000,10.0000,4058067.6558,43477185.6684
19.0000,10.0000,4150215.2826,47627400.9510
20.0000,37.9700,4693903.2048,52321304.1558
21.0000,10.0000,4786050.8316,57107354.9874
22.0000,25.5200,5128749.2406,62236104.2280
23.0000,10.0000,5220896.8674,67457001.0954
24.0000,10.0000,5313044.4942,72770045.5896
25.0000,10.0000,5405192.1210,78175237.7106
26.0000,10.0000,5497339.7478,83672577.4584
27.0000,10.0000,5589487.3746,89262064.8330
28.0000,10.0000,5681635.0014,94943699.8344
29.0000,10.0000,5773782.6282,100717482.4626
30.0000,14.6300,5940675.7524,106658158.2150
31.0000,20.2300,6197973.7986,112856132.0136
32.0000,34.3400,6683059.9590,119539191.9726
33.0000,10.0000,6775207.5858,126314399.5584
34.0000,10.0000,6867355.2126,133181754.7710
35.0000,20.6500,7131433.6278,140313188.3988
36.0000,10.0000,7223581.2546,147536769.6534
37.0000,28.6700,7617132.4320,155153902.0854
38.0000,10.0000,7709280.0588,162863182.1442
39.0000,10.0000,7801427.6856,170664609.8298
40.0000,10.0000,7893575.3124,178558185.1422
41.0000,41.2900,8490860.4378,187049045.5800
42.0000,30.1600,8908465.7820,195957511.3620
43.0000,10.0000,9000613.4088,204958124.7708
44.0000,10.0000,9092761.0356,214050885.8064
45.0000,24.5100,9419154.2712,223470040.0776
46.0000,20.4700,9680326.8138,233150366.8914
47.0000,10.2300,9776187.4998,242926554.3912
48.0000,13.0300,9917250.6468,252843805.0380
49.0000,49.0700,10640134.0380,263483939.0760
50.0000,10.0000,10732281.6648,274216220.7408
51.0000,33.8100,11208811.6452,285425032.3860
52.0000,13.9800,11365211.3412,296790243.7272
53.0000,35.7100,11872414.4202,308662658.1474
54.0000,35.7600,12380424.6858,321043082.8332
55.0000,15.6600,12563945.8584,333607028.6916
56.0000,18.5300,12793799.5530,346400828.2446
57.0000,10.0000,12885947.1798,359286775.4244
58.0000,17.6900,13102240.1364,372389015.5608
59.0000,10.0000,13194387.7632,385583403.3240
60.0000,16.9200,13398250.0428,398981653.3668
61.0000,10.0000,13490397.6696,412472051.0364
62.0000,10.0000,13582545.2964,426054596.3328
63.0000,10.0000,13674692.9232,439729289.2560
64.0000,10.0000,13766840.5500,453496129.8060
65.0000,25.9700,14116803.6402,467612933.4462
66.0000,16.4200,14312594.0520,481925527.4982
67.0000,13.7200,14464796.3766,496390323.8748
68.0000,10.0000,14556944.0034,510947267.8782
69.0000,10.0000,14649091.6302,525596359.5084
70.0000,10.0000,14741239.2570,540337598.7654
71.0000,10.0000,14833386.8838,555170985.6492
72.0000,10.0000,14925534.5106,570096520.1598
73.0000,10.0000,15017682.1374,585114202.2972
74.0000,10.0000,15109829.7642,600224032.0614
75.0000,10.0000,15201977.3910,615426009.4524
76.0000,19.3100,15444423.1998,630870432.6522
77.0000,10.6000,15546257.0682,646416689.7204
78.0000,35.2800,16046518.3404,662463208.0608
79.0000,34.7100,16537577.6832,679000785.7440
80.0000,30.8200,16965837.8928,695966623.6368
81.0000,10.0000,17057985.5196,713024609.1564
82.0000,36.8900,17584238.2068,730608847.3632
83.0000,12.9900,17724655.6044,748333502.9676
84.0000,31.5200,18164216.4294,766497719.3970
85.0000,29.3300,18568422.4728,785066141.8698
86.0000,41.7500,19173133.7166,804239275.5864
87.0000,10.0000,19265281.3434,823504556.9298
88.0000,38.2500,19813489.5114,843318046.4412
89.0000,10.0000,19905637.1382,863223683.5794
90.0000,10.0000,19997784.7650,883221468.3444
91.0000,10.0000,20089932.3918,903311400.7362
92.0000,10.0000,20182080.0186,923493480.7548
93.0000,10.0000,20274227.6454,943767708.4002
94.0000,10.0000,20366375.2722,964134083.6724
95.0000,30.7500,20793505.4208,984927589.0932
96.0000,50.4500,21538667.1678,1006466256.2610
97.0000,37.6500,22077189.0942,1028543445.3552
98.0000,10.0000,22169336.7210,1050712782.0762
99.0000,10.0000,22261484.3478,1072974266.4240
100.0000,10.0000,22353631.9746,1095327898.3986
101.0000,10.0000,22445779.6014,1117773678.0000
102.0000,10.0000,22537927.2282,1140311605.2282
