Time,target_send_rate,total_size_bytes,total_dir_size_bytes
0.0000,18.0800,222589.0134,222589.0134
1.0000,10.0000,314736.6402,537325.6536
2.0000,10.0000,406884.2670,944209.9206
3.0000,10.0000,499031.8938,1443241.8144
4.0000,10.0000,591179.5206,2034421.3350
5.0000,10.0000,683327.1474,2717748.4824
6.0000,10.0000,775474.7742,3493223.2566
7.0000,10.0000,867622.4010,4360845.6576
8.0000,10.0000,959770.0278,5320615.6854
9.0000,10.0000,1051917.6546,6372533.3400
10.0000,10.0000,1144065.2814,7516598.6214
11.0000,46.5500,1826266.4580,9342865.0794
12.0000,10.0000,1918414.0848,11261279.1642
13.0000,10.0000,2010561.7116,13271840.8758
14.0000,10.0000,2102709.3384,15374550.2142
15.0000,10.0000,2194856.9652,17569407.1794
16.0000,10.0000,2287004.5920,19856411.7714
17.0000,10.0000,2379152.2188,22235563.9902
18.0000,10.0000,2471299.8456,24706863.8358
19.0000,10.0000,2563447.4724,27270311.3082
20.0000,10.0000,2655595.0992,29925906.4074
21.0000,10.0000,2747742.7260,32673649.1334
22.0000,10.0000,2839890.3528,35513539.4862
23.0000,20.1000,3095089.7130,38608629.1992
24.0000,10.0000,3187237.3398,41795866.5390
25.0000,10.0000,3279384.9666,45075251.5056
26.0000,18.9500,3516019.0302,48591270.5358
27.0000,11.5900,3633835.1970,52225105.7328
28.0000,10.0000,3725982.8238,55951088.5566
29.0000,10.0000,3818130.4506,59769219.0072
30.0000,10.0000,3910278.0774,63679497.0846
31.0000,10.0000,4002425.7042,67681922.7888
32.0000,10.0000,4094573.3310,71776496.1198
33.0000,10.0000,4186720.9578,75963217.0776
34.0000,21.8100,4469526.1068,80432743.1844
35.0000,31.0200,4901015.0640,85333758.2484
36.0000,10.0000,4993162.6908,90326920.9392
37.0000,10.0000,5085310.3176,95412231.2568
38.0000,13.1000,5227503.5262,100639734.7830
39.0000,36.4400,5746491.5322,106386226.3152
40.0000,10.0000,5838639.1590,112224865.4742
41.0000,10.0000,5930786.7858,118155652.2600
42.0000,10.0000,6022934.4126,124178586.6726
43.0000,10.0000,6115082.0394,130293668.7120
44.0000,38.9700,6674913.6972,136968582.4092
45.0000,10.0000,6767061.3240,143735643.7332
46.0000,10.0000,6859208.9508,150594852.6840
47.0000,10.0000,6951356.5776,157546209.2616
48.0000,10.0000,7043504.2044,164589713.4660
49.0000,10.0000,7135651.8312,171725365.2972
50.0000,37.4000,7670137.8240,179395503.1212
51.0000,10.0000,7762285.4508,187157788.5720
52.0000,10.0000,7854433.0776,195012221.6496
53.0000,28.1900,8240235.2616,203252456.9112
54.0000,16.1400,8431505.4276,211683962.3388
55.0000,14.3200,8593393.9938,220277356.3326
56.0000,10.0000,8685541.6206,228962897.9532
57.0000,14.9100,8856954.9912,237819852.9444
58.0000,23.3000,9163814.3064,246983667.2508
59.0000,10.0000,9255961.9332,256239629.1840
60.0000,17.9200,9475967.9490,265715597.1330
61.0000,26.9700,9842074.7754,275557671.9084
62.0000,17.0000,10047228.5544,285604900.4628
63.0000,18.1000,10270140.4428,295875040.9056
64.0000,28.9400,10668050.4288,306543091.3344
65.0000,10.2400,10764072.5526,317307163.8870
66.0000,20.9400,11032832.6508,328339996.5378
67.0000,10.0000,11124980.2776,339464976.8154
68.0000,37.9300,11668022.4504,351132999.2658
69.0000,42.7400,12288715.9932,363421715.2590
70.0000,21.3200,12563610.7116,375985325.9706
71.0000,12.3200,12693211.8060,388678537.7766
72.0000,18.2000,12917738.0676,401596275.8442
73.0000,10.0000,13009885.6944,414606161.5386
74.0000,10.0000,13102033.3212,427708194.8598
75.0000,24.9700,13435852.6758,441144047.5356
76.0000,19.9300,13688307.6012,454832355.1368
77.0000,10.0000,13780455.2280,468612810.3648
78.0000,35.5300,14284752.4344,482897562.7992
79.0000,24.8200,14616150.2286,497513713.0278
80.0000,21.5100,14894112.2568,512407825.2846
81.0000,36.4000,15412454.5134,527820279.7980
82.0000,17.1500,15620029.8528,543440309.6508
83.0000,14.4700,15784339.9794,559224649.6302
84.0000,10.0000,15876487.6062,575101137.2364
85.0000,28.7000,16270523.0958,591371660.3322
86.0000,10.0000,16362670.7226,607734331.0548
87.0000,10.0000,16454818.3494,624189149.4042
88.0000,30.7600,16882109.9352,641071259.3394
89.0000,27.7100,17260163.1264,658331422.4658
90.0000,25.7800,17607058.9068,675938481.3726
91.0000,13.2500,17751673.6758,693690155.0484
92.0000,30.1100,18168471.8334,711858626.8818
93.0000,27.6900,18546202.1496,730404829.0314
94.0000,15.7400,18731014.8210,749135843.8524
95.0000,17.5700,18945370.5294,768081214.3818
96.0000,26.3500,19301468.2392,787382682.6210
97.0000,19.6300,19549080.0438,806931762.6648
98.0000,13.2200,19693210.5006,826624973.1654
99.0000,32.9400,20155695.4308,846780668.5962
100.0000,10.0000,20247843.0576,867028511.6538
101.0000,31.9000,20693538.5022,887722050.1560
102.0000,24.1200,21013635.6810,908735685.8370
103.0000,23.3100,21320656.4340,930056342.2710
104.0000,37.3100,21853689.4902,951910031.7612
105.0000,34.2600,22337484.1518,974247515.9130
106.0000,38.7800,22894248.4998,997141764.4128
107.0000,30.8100,23322347.2722,1020464111.6850
108.0000,34.0400,23802590.3118,1044266701.9968
109.0000,16.0000,23991600.3546,1068258302.3514
110.0000,16.4000,24187067.8920,1092445370.2434
111.0000,21.9100,24471487.4142,1116916857.6576
112.0000,23.0700,24774633.6702,1141691491.3278
113.0000,10.0000,24866781.2970,1166558272.6248
114.0000,28.2000,25252744.9188,1191811017.5436
115.0000,16.7900,25454508.5130,1217265526.0566
116.0000,23.1000,25758139.0812,1243023665.1378
117.0000,39.8300,26331854.3520,1269355519.4898
118.0000,65.0600,27312876.0816,1296668395.5714
119.0000,27.7000,27690767.8350,1324359163.4064
120.0000,38.8500,28248662.2446,1352607825.6510
121.0000,20.4700,28509834.7872,1381117660.4382
122.0000,12.0100,28634431.3236,1409752091.7618
123.0000,16.7700,28835872.0428,1438587963.8046
124.0000,19.0100,29073474.7308,1467661438.5354
125.0000,40.2900,29654616.1206,1497316054.6560
126.0000,42.7200,30274986.7884,1527591041.4444
127.0000,41.1800,30870496.1028,1558461537.5472
128.0000,37.0900,31399977.5370,1589861515.0842
129.0000,34.4700,31887162.3834,1621748677.4676
130.0000,33.4700,32358203.4936,1654106880.9612
131.0000,25.5500,32701386.2148,1686808267.1760
132.0000,10.0000,32793533.8416,1719601801.0176
133.0000,10.7700,32898112.1454,1752499913.1630
134.0000,40.2200,33478123.4736,1785978036.6366
135.0000,15.7600,33663259.0200,1819641295.6566
136.0000,10.0000,33755406.6468,1853396702.3034
137.0000,24.8500,34087288.7532,1887483991.0566
138.0000,25.3200,34426758.4152,1921910749.4718
139.0000,52.0600,35197911.5772,1957108661.0490
140.0000,51.6500,35962445.8074,1993071106.8564
141.0000,23.2900,36269143.6854,2029340250.5418
142.0000,57.0100,37120208.3406,2066460458.8824
143.0000,24.8000,37451283.2598,2103911742.1422
144.0000,28.0700,37835148.1956,2141746890.3378
145.0000,34.1500,38317167.0462,2180064057.3840
146.0000,10.0000,38409314.6730,2218473372.0570
147.0000,53.9500,39210979.4958,2257684351.5528
148.0000,68.9900,40255446.1080,2297939797.6608
149.0000,10.0000,40347593.7348,2338287391.3956
150.0000,14.2700,40508675.1144,2378796066.5100
151.0000,45.5600,41174893.9926,2419970960.5026
152.0000,27.2300,41545198.1904,2461516158.6930
153.0000,25.4800,41887250.8500,2503403409.5430
154.0000,46.5800,42569936.3388,2545973345.8818
155.0000,37.4400,43105068.0810,2589078413.9628
156.0000,27.8500,43485381.3948,2632563795.3576
157.0000,41.0800,44079276.3360,2676643071.6936
158.0000,22.4900,44373059.2254,2721016130.9190
159.0000,34.6900,44863795.6938,2765879926.6128
160.0000,57.5800,45724062.2784,2811603988.8912
161.0000,25.0700,46059496.0062,2857663484.8974
162.0000,37.3000,46592367.6252,2904255852.5226
163.0000,17.8500,46811243.5794,2951067096.1020
164.0000,39.5700,47380761.4788,2998447857.5808
165.0000,63.9100,48343217.9118,3046791075.4926
166.0000,24.1500,48663799.4028,3095454874.8954
167.0000,49.7600,49397821.9722,3144852696.8676
168.0000,28.1400,49782816.9696,3194635513.8372
169.0000,29.8200,50194933.4436,3244830447.2808
170.0000,10.0000,50287081.0704,3295117528.3512
171.0000,10.5000,50387300.5650,3345504828.9162
172.0000,71.8600,51478099.6992,3396982928.6154
173.0000,18.3900,51705693.2712,3448688621.8866
174.0000,54.9200,52523017.5180,3501211639.4046
175.0000,30.2700,52942398.6732,3554154038.0778
176.0000,33.1500,53408273.7882,3607562311.8660
177.0000,52.7500,54190566.1278,3661752877.9938
178.0000,41.9100,54797860.3698,3716550738.3636
179.0000,10.6200,54900017.1132,3771450755.4768
180.0000,48.8000,55618541.6958,3827069297.1726
181.0000,60.9400,56533051.2330,3883602348.4056
182.0000,37.8500,57074801.9070,3940677150.3126
183.0000,25.4900,57417016.0044,3998094166.3170
184.0000,10.0000,57509163.6312,4055603329.9482
185.0000,13.0400,57650388.2154,4113253718.1636
186.0000,52.1700,58423317.1884,4171677035.3520
187.0000,47.9700,59128442.4702,4230805477.8222
188.0000,40.8400,59718462.9144,4290523940.7366
189.0000,51.6800,60483481.4568,4351007422.1934
190.0000,38.1400,61029913.8138,4412037336.0072
191.0000,58.6000,61906647.0090,4473943983.0162
192.0000,67.7100,62930449.6392,4536874432.6554
193.0000,54.6000,63742607.8908,4600617040.5462
194.0000,36.9800,64270313.5140,4664887354.0602
195.0000,61.4400,65192894.9196,4730080248.9798
196.0000,68.3300,66226706.6658,4796306955.6456
197.0000,40.7800,66815758.4862,4863122714.1318
198.0000,39.6900,67387213.6344,4930509927.7662
199.0000,29.7300,67797877.1718,4998307804.9380
200.0000,69.1600,68845088.2188,5067152893.1568
201.0000,35.7500,69352937.0472,5136505830.2040
202.0000,31.6200,69794112.2460,5206299942.4500
203.0000,55.5100,70620961.2972,5276920903.7472
204.0000,33.1500,71086836.4122,5348007740.1594
205.0000,39.6200,71657161.4988,5419664901.6582
206.0000,31.2900,72093009.2646,5491757910.9228
207.0000,38.9900,72653163.7974,5564411074.7202
208.0000,34.0200,73133083.9626,5637544158.6828
209.0000,40.8300,73722942.9696,5711267101.6524
210.0000,10.0000,73815090.5964,5785082192.2488
211.0000,36.2600,74331172.7298,5859413364.9786
212.0000,49.8000,75065841.0486,5934479206.0272
213.0000,75.1300,76209430.1994,6010688636.2266
214.0000,39.4900,76777656.6000,6087466292.8266
215.0000,26.6800,77139081.7428,6164605374.5694
216.0000,16.7500,77340199.5876,6241945574.1570
217.0000,25.3300,77679830.6868,6319625404.8438
218.0000,32.0900,78128593.4412,6397753998.2850
219.0000,28.7600,78523597.5552,6476277595.8402
220.0000,79.4500,79736927.6454,6556014523.4856
221.0000,19.2700,79978727.7048,6635993251.1904
222.0000,17.3400,80189370.3540,6716182621.5444
223.0000,16.9600,80393878.3830,6796576499.9274
224.0000,63.1500,81344065.5768,6877920565.5042
225.0000,48.3800,82055809.7904,6959976375.2946
226.0000,41.6600,82659068.0982,7042635443.3928
227.0000,47.6500,83359027.3848,7125994470.7776
228.0000,39.7900,83932096.9062,7209926567.6838
229.0000,52.2600,84706478.8152,7294633046.4990
230.0000,49.9400,85443407.2572,7380076453.7562
231.0000,52.0700,86214721.8564,7466291175.6126
232.0000,36.0700,86727736.6800,7553018912.2926
233.0000,44.9800,87384592.1910,7640403504.4836
234.0000,66.1400,88383049.1556,7728786553.6392
235.0000,54.4500,89192785.8468,7817979339.4860
236.0000,29.7700,89604095.1342,7907583434.6202
