Time,target_send_rate,increase_size_bytes,total_file_size_bytes,total_dir_size_bytes
0.0000,10.0000,92147.6268,92147.6268,92147.6268
1.0000,10.0000,92147.6268,184295.2536,184295.2536
2.0000,10.0000,92147.6268,276442.8804,276442.8804
3.0000,11.9500,123627.9120,400070.7924,400070.7924
4.0000,10.0000,92147.6268,492218.4192,492218.4192
5.0000,10.0000,92147.6268,584366.0460,584366.0460
6.0000,10.0000,92147.6268,676513.6728,676513.6728
7.0000,23.8200,315254.0580,991767.7308,991767.7308
8.0000,10.0000,92147.6268,1083915.3576,1083915.3576
9.0000,10.0000,92147.6268,1176062.9844,1176062.9844
10.0000,10.0000,92147.6268,1268210.6112,1268210.6112
11.0000,13.9300,155592.5094,1423803.1206,1423803.1206
12.0000,13.6800,151556.5752,1575359.6958,1575359.6958
13.0000,19.2000,240669.9978,1816029.6936,1816029.6936
14.0000,22.4900,293782.8894,2109812.5830,2109812.5830
15.0000,27.4600,374017.2570,2483829.8400,2483829.8400
16.0000,10.0000,92147.6268,2575977.4668,2575977.4668
17.0000,10.0000,92147.6268,2668125.0936,2668125.0936
18.0000,10.0000,92147.6268,2760272.7204,2760272.7204
19.0000,10.0000,92147.6268,2852420.3472,2852420.3472
20.0000,10.0000,92147.6268,2944567.9740,2944567.9740
21.0000,10.0000,92147.6268,3036715.6008,3036715.6008
22.0000,10.0000,92147.6268,3128863.2276,3128863.2276
23.0000,10.0000,92147.6268,3221010.8544,3221010.8544
24.0000,10.0000,92147.6268,3313158.4812,3313158.4812
25.0000,11.9200,123143.5998,3436302.0810,3436302.0810
26.0000,16.8000,201925.0314,3638227.1124,3638227.1124
27.0000,10.0000,92147.6268,3730374.7392,3730374.7392
28.0000,10.0000,92147.6268,3822522.3660,3822522.3660
29.0000,10.0000,92147.6268,3914669.9928,3914669.9928
30.0000,12.5900,133959.9030,4048629.8958,4048629.8958
31.0000,18.3600,227109.2598,4275739.1556,4275739.1556
32.0000,10.0000,92147.6268,4367886.7824,4367886.7824
33.0000,30.9500,430358.8956,4798245.6780,4798245.6780
34.0000,10.0000,92147.6268,4890393.3048,4890393.3048
35.0000,15.2900,177547.9902,5067941.2950,5067941.2950
36.0000,11.6000,117977.6046,5185918.8996,5185918.8996
37.0000,10.0000,92147.6268,5278066.5264,5278066.5264
38.0000,24.3100,323164.4886,5601231.0150,5601231.0150
39.0000,10.0000,92147.6268,5693378.6418,5693378.6418
40.0000,29.3000,403721.7312,6097100.3730,6097100.3730
41.0000,10.0000,92147.6268,6189247.9998,6189247.9998
42.0000,28.4900,390645.3048,6579893.3046,6579893.3046
43.0000,10.0000,92147.6268,6672040.9314,6672040.9314
44.0000,10.0000,92147.6268,6764188.5582,6764188.5582
45.0000,10.0000,92147.6268,6856336.1850,6856336.1850
46.0000,10.4200,98927.9958,6955264.1808,6955264.1808
