@relation Dynamic_Log_Rate_s1_alpha0.3
@attribute Time numeric
@attribute target_send_rate numeric
@data
0.00,40.85
1.00,27.31
2.00,10.00
3.00,10.00
4.00,10.00
5.00,10.00
6.00,10.00
7.00,10.00
8.00,10.00
9.00,36.78
10.00,10.00
11.00,10.00
12.00,45.21
13.00,42.77
14.00,10.00
15.00,10.00
16.00,10.00
17.00,10.00
18.00,10.00
19.00,10.00
20.00,37.97
21.00,10.00
22.00,25.52
23.00,10.00
24.00,10.00
25.00,10.00
26.00,10.00
27.00,10.00
28.00,10.00
29.00,10.00
30.00,14.63
31.00,20.23
32.00,34.34
33.00,10.00
34.00,10.00
35.00,20.65
36.00,10.00
37.00,28.67
38.00,10.00
39.00,10.00
40.00,10.00
41.00,41.29
42.00,30.16
43.00,10.00
44.00,10.00
45.00,24.51
46.00,20.47
47.00,10.23
48.00,13.03
49.00,49.07
50.00,10.00
51.00,33.81
52.00,13.98
53.00,35.71
54.00,35.76
55.00,15.66
56.00,18.53
57.00,10.00
58.00,17.69
59.00,10.00
60.00,16.92
61.00,10.00
62.00,10.00
63.00,10.00
64.00,10.00
65.00,25.97
66.00,16.42
67.00,13.72
68.00,10.00
69.00,10.00
70.00,10.00
71.00,10.00
72.00,10.00
73.00,10.00
74.00,10.00
75.00,10.00
76.00,19.31
77.00,10.60
78.00,35.28
79.00,34.71
80.00,30.82
81.00,10.00
82.00,36.89
83.00,12.99
84.00,31.52
85.00,29.33
86.00,41.75
87.00,10.00
88.00,38.25
89.00,10.00
90.00,10.00
91.00,10.00
92.00,10.00
93.00,10.00
94.00,10.00
95.00,30.75
96.00,50.45
97.00,37.65
98.00,10.00
99.00,10.00
100.00,10.00
101.00,10.00
102.00,10.00
103.00,19.92
104.00,16.00
105.00,12.04
106.00,10.00
107.00,10.00
108.00,28.69
109.00,25.46
110.00,10.00
111.00,15.38
112.00,34.21
113.00,10.00
114.00,44.28
115.00,10.00
116.00,34.47
117.00,10.00
118.00,10.00
119.00,21.79
120.00,10.00
121.00,19.07
122.00,83.08
123.00,43.56
124.00,33.37
125.00,15.24
126.00,52.69
127.00,10.00
128.00,10.00
129.00,53.86
130.00,23.01
131.00,24.49
132.00,10.00
133.00,40.11
134.00,28.51
135.00,33.51
136.00,43.20
137.00,24.90
138.00,16.78
139.00,42.90
140.00,10.00
141.00,10.00
142.00,10.00
143.00,45.10
144.00,36.48
145.00,39.17
146.00,12.16
147.00,31.47
148.00,46.58
149.00,11.59
150.00,38.17
151.00,10.00
152.00,12.82
153.00,10.00
154.00,10.00
155.00,10.00
156.00,10.00
157.00,10.00
158.00,10.00
159.00,39.90
160.00,19.80
161.00,11.99
162.00,10.02
163.00,26.34
164.00,41.34
165.00,10.00
166.00,10.00
167.00,12.11
168.00,53.62
169.00,42.16
170.00,10.00
171.00,68.85
172.00,46.01
173.00,10.00
174.00,10.00
175.00,18.74
176.00,18.25
177.00,30.42
178.00,26.33
179.00,56.28
180.00,10.00
181.00,10.00
182.00,24.59
183.00,28.64
184.00,10.00
185.00,36.54
186.00,44.55
187.00,10.41
188.00,29.49
189.00,23.86
190.00,31.01
191.00,31.33
192.00,10.99
193.00,10.22
194.00,26.36
195.00,39.01
196.00,16.84
197.00,32.44
198.00,23.55
199.00,42.77
200.00,10.00
201.00,54.93
202.00,21.01
203.00,16.79
204.00,22.36
205.00,39.42
206.00,10.00
207.00,33.34
208.00,20.93
209.00,12.03
210.00,52.20
211.00,23.90
212.00,31.94
213.00,10.00
214.00,10.00
215.00,27.40
216.00,37.27
217.00,35.82
218.00,27.17
219.00,35.72
220.00,10.00
221.00,27.75
222.00,32.18
223.00,28.23
224.00,38.12
225.00,40.50
226.00,10.15
227.00,40.35
228.00,24.22
229.00,47.09
230.00,10.00
231.00,10.00
232.00,45.18
233.00,48.89
234.00,13.49
235.00,17.65
236.00,13.00
237.00,13.45
238.00,16.71
239.00,21.81
240.00,24.94
241.00,10.00
242.00,32.66
243.00,28.84
244.00,37.00
245.00,12.76
246.00,67.07
247.00,10.00
248.00,10.00
249.00,39.06
250.00,20.75
251.00,16.54
252.00,46.22
253.00,10.00
254.00,20.09
255.00,56.77
256.00,10.03
257.00,12.05
258.00,35.35
259.00,34.25
260.00,21.21
261.00,21.99
262.00,19.06
263.00,28.41
264.00,23.96
265.00,58.61
266.00,53.04
267.00,10.00
268.00,10.00
269.00,10.40
270.00,39.47
271.00,43.83
272.00,53.02
273.00,37.47
274.00,14.19
275.00,10.00
276.00,54.35
277.00,10.00
278.00,59.66
279.00,10.00
280.00,37.15
281.00,24.82
282.00,10.00
283.00,27.56
284.00,68.38
285.00,30.17
286.00,20.36
287.00,27.80
288.00,28.51
289.00,66.10
290.00,31.50
291.00,10.00
292.00,11.93
293.00,10.41
294.00,43.10
295.00,10.00
296.00,22.15
297.00,23.08
298.00,57.25
299.00,62.65
300.00,10.23
301.00,34.33
302.00,10.00
303.00,18.38
304.00,24.42
305.00,10.00
306.00,55.18
307.00,18.47
308.00,55.97
309.00,35.62
310.00,38.38
311.00,20.18
312.00,31.66
313.00,10.00
314.00,40.39
315.00,30.63
316.00,14.28
317.00,10.00
318.00,42.31
319.00,48.71
320.00,39.39
321.00,42.36
322.00,30.29
323.00,50.37
324.00,60.29
325.00,10.00
326.00,10.00
327.00,25.35
328.00,39.69
329.00,10.00
330.00,60.64
331.00,38.02
332.00,71.39
333.00,10.00
334.00,15.65
335.00,10.00
336.00,45.24
337.00,13.38
338.00,10.00
339.00,16.08
340.00,54.72
341.00,12.57
342.00,23.73
343.00,45.52
344.00,59.25
345.00,10.32
346.00,19.72
347.00,34.31
348.00,42.25
349.00,35.67
350.00,29.14
351.00,32.78
352.00,10.00
353.00,81.79
354.00,30.15
355.00,14.42
356.00,26.09
357.00,36.81
358.00,10.00
359.00,35.94
360.00,37.41
361.00,10.00
362.00,31.54
363.00,50.94
364.00,11.25
365.00,40.36
366.00,56.43
367.00,39.75
368.00,43.48
369.00,48.25
370.00,75.32
371.00,41.95
372.00,10.00
373.00,35.52
374.00,43.22
375.00,10.00
376.00,24.93
377.00,44.59
378.00,16.27
379.00,37.60
380.00,28.25
381.00,61.45
382.00,54.39
383.00,42.97
384.00,15.90
385.00,77.65
386.00,10.00
387.00,41.27
388.00,10.00
389.00,63.43
390.00,30.30
391.00,31.24
392.00,59.21
393.00,31.79
394.00,10.00
395.00,45.69
396.00,23.86
397.00,50.64
398.00,21.73
399.00,50.40
400.00,31.20
401.00,14.39
402.00,14.19
403.00,56.41
404.00,20.35
405.00,20.84
406.00,44.74
407.00,30.88
408.00,22.27
409.00,42.22
410.00,14.54
411.00,10.00
412.00,34.84
413.00,55.69
414.00,36.73
415.00,30.47
416.00,27.23
417.00,33.91
418.00,40.72
419.00,41.33
420.00,10.00
421.00,10.00
422.00,77.27
423.00,38.82
424.00,28.16
425.00,53.51
426.00,33.28
427.00,44.77
428.00,46.94
429.00,48.42
430.00,44.25
431.00,26.83
432.00,10.00
433.00,46.87
434.00,28.21
435.00,58.49
436.00,11.84
437.00,23.52
438.00,35.19
439.00,10.00
440.00,16.14
441.00,52.52
442.00,69.19
443.00,22.30
444.00,28.72
445.00,41.82
446.00,67.35
447.00,54.80
448.00,32.87
449.00,22.01
450.00,59.11
451.00,39.74
452.00,59.18
453.00,18.53
454.00,28.53
455.00,10.00
456.00,49.25
457.00,17.34
458.00,31.70
459.00,36.86
460.00,48.07
461.00,35.42
462.00,26.59
463.00,21.66
464.00,12.03
465.00,14.66
466.00,17.67
467.00,18.95
468.00,39.51
469.00,10.00
470.00,36.60
471.00,10.00
472.00,35.63
473.00,18.02
474.00,11.19
475.00,10.00
476.00,10.00
477.00,18.05
478.00,62.79
479.00,19.58
480.00,16.82
481.00,24.46
482.00,43.05
483.00,16.00
484.00,15.71
485.00,18.32
486.00,45.69
487.00,10.00
488.00,28.47
489.00,31.99
490.00,10.00
491.00,10.00
492.00,20.91
493.00,10.00
494.00,52.12
495.00,15.34
496.00,10.00
497.00,34.80
498.00,10.00
499.00,28.28
500.00,12.34
501.00,10.00
502.00,56.15
503.00,28.49
504.00,42.06
505.00,39.44
506.00,10.00
507.00,10.00
508.00,10.00
509.00,55.12
510.00,37.18
511.00,50.10
512.00,10.00
513.00,10.00
514.00,34.42
515.00,10.00
516.00,12.86
517.00,16.99
518.00,42.30
519.00,10.00
520.00,38.81
521.00,22.17
522.00,51.10
523.00,42.35
524.00,16.05
525.00,46.89
526.00,10.00
527.00,17.50
528.00,26.58
529.00,10.00
530.00,55.10
531.00,11.59
532.00,30.39
533.00,42.75
534.00,33.30
535.00,10.00
536.00,19.10
537.00,12.08
538.00,44.15
539.00,19.85
540.00,25.28
541.00,25.53
542.00,29.26
543.00,28.21
544.00,42.62
545.00,37.11
546.00,40.86
547.00,53.72
548.00,13.59
549.00,10.00
550.00,29.58
551.00,20.96
552.00,10.00
553.00,71.44
554.00,35.75
555.00,31.42
556.00,36.62
557.00,10.00
558.00,40.79
559.00,10.00
560.00,26.06
561.00,42.54
562.00,24.97
563.00,10.00
564.00,10.00
565.00,14.86
566.00,50.61
567.00,10.00
568.00,36.74
569.00,10.00
570.00,10.00
571.00,10.00
572.00,10.00
573.00,10.00
574.00,18.36
575.00,10.00
576.00,26.67
577.00,10.30
578.00,10.00
579.00,10.00
580.00,38.87
581.00,41.22
582.00,24.19
583.00,11.36
584.00,44.07
585.00,10.00
586.00,15.12
587.00,10.00
588.00,10.00
589.00,42.25
590.00,10.00
591.00,10.81
592.00,25.50
593.00,10.00
594.00,33.18
595.00,16.40
596.00,10.00
597.00,18.48
598.00,10.00
599.00,14.94
600.00,10.00
601.00,23.32
602.00,10.00
603.00,24.84
604.00,47.04
605.00,10.00
606.00,19.33
607.00,44.33
608.00,10.00
609.00,10.00
610.00,10.00
611.00,10.00
612.00,10.00
613.00,55.39
614.00,10.00
615.00,21.05
616.00,20.78
617.00,31.21
618.00,33.84
619.00,22.86
620.00,15.89
621.00,10.00
622.00,10.00
623.00,11.48
624.00,10.00
625.00,10.00
626.00,11.17
627.00,30.49
628.00,18.80
629.00,29.59
630.00,19.47
631.00,19.95
632.00,18.07
633.00,21.81
634.00,18.26
635.00,10.09
636.00,26.75
637.00,10.00
638.00,32.23
639.00,14.40
640.00,10.00
641.00,10.00
642.00,34.13
643.00,36.19
644.00,35.91
645.00,18.35
646.00,10.00
647.00,10.00
648.00,10.00
649.00,17.92
650.00,10.00
651.00,39.24
652.00,10.00
653.00,45.48
654.00,10.00
655.00,10.00
656.00,10.00
657.00,10.00
658.00,39.53
659.00,10.00
660.00,14.88
661.00,10.00
662.00,40.55
663.00,10.00
664.00,10.00
665.00,10.00
666.00,23.61
667.00,52.49
668.00,10.00
669.00,10.00
670.00,10.00
671.00,44.70
672.00,10.00
673.00,10.00
674.00,11.56
675.00,10.00
676.00,11.38
677.00,26.40
678.00,10.00
679.00,22.71
680.00,10.00
681.00,24.13
682.00,10.00
683.00,10.00
684.00,10.00
685.00,10.00
686.00,10.00
687.00,24.04
688.00,10.00
689.00,10.53
690.00,11.11
691.00,10.00
692.00,10.00
693.00,10.00
694.00,30.95
695.00,10.00
696.00,14.60
697.00,16.52
698.00,46.59
699.00,19.37
700.00,20.40
701.00,38.16
702.00,10.00
703.00,10.00
704.00,25.15
705.00,17.64
706.00,22.27
707.00,10.00
708.00,47.34
709.00,10.00
710.00,10.00
711.00,10.00
712.00,10.00
713.00,10.00
714.00,10.00
715.00,16.63
716.00,10.00
717.00,22.07
718.00,10.00
719.00,10.00
720.00,10.00
721.00,22.83
722.00,20.14
723.00,10.00
724.00,10.00
725.00,52.51
726.00,10.00
727.00,10.00
728.00,10.00
729.00,15.70
730.00,10.00
731.00,10.00
732.00,10.00
733.00,10.00
734.00,10.00
735.00,10.00
736.00,22.22
737.00,10.00
738.00,37.07
739.00,10.00
740.00,15.19
741.00,10.00
