@relation Dynamic_Log_Rate_s3_alpha0.8
@attribute Time numeric
@attribute target_send_rate numeric
@data
0.00,10.00
1.00,10.00
2.00,10.00
3.00,10.00
4.00,10.00
5.00,10.00
6.00,10.00
7.00,10.00
8.00,10.00
9.00,11.93
10.00,10.00
11.00,10.00
12.00,10.00
13.00,10.00
14.00,10.00
15.00,12.77
16.00,10.00
17.00,10.08
18.00,10.00
19.00,10.00
20.00,10.27
21.00,14.37
22.00,10.00
23.00,10.00
24.00,10.00
25.00,10.00
26.00,12.44
27.00,10.67
28.00,17.55
29.00,15.88
30.00,11.59
31.00,14.24
32.00,14.53
33.00,10.00
34.00,11.64
35.00,13.68
36.00,16.55
37.00,14.19
38.00,10.00
39.00,11.19
40.00,10.00
41.00,10.36
42.00,18.51
43.00,10.00
44.00,19.25
45.00,14.89
46.00,25.25
47.00,22.68
48.00,16.34
49.00,12.23
50.00,24.61
51.00,10.00
52.00,27.95
53.00,15.42
54.00,21.90
55.00,20.65
56.00,21.98
57.00,13.56
58.00,20.80
59.00,25.06
60.00,23.11
61.00,16.31
62.00,18.84
63.00,29.83
64.00,23.76
65.00,28.96
66.00,18.14
67.00,23.22
68.00,24.17
69.00,21.57
70.00,29.60
71.00,21.48
72.00,24.77
73.00,21.63
74.00,25.76
75.00,25.74
76.00,26.70
77.00,25.37
78.00,28.33
79.00,21.06
80.00,24.05
81.00,24.17
82.00,25.55
83.00,21.21
84.00,15.26
85.00,29.54
86.00,30.66
87.00,29.58
88.00,32.17
89.00,24.70
90.00,33.75
91.00,36.33
92.00,25.83
93.00,29.11
94.00,34.23
95.00,36.43
96.00,33.20
97.00,46.19
98.00,40.21
99.00,39.51
100.00,30.82
101.00,29.45
102.00,31.71
103.00,40.96
104.00,24.50
105.00,34.83
106.00,38.34
107.00,34.99
108.00,34.92
109.00,30.62
110.00,34.56
111.00,25.35
112.00,38.87
113.00,45.33
114.00,43.71
115.00,45.25
116.00,39.82
117.00,42.07
118.00,34.40
119.00,33.87
120.00,36.29
121.00,46.84
122.00,30.29
123.00,36.14
124.00,40.29
125.00,40.25
126.00,52.69
127.00,52.25
128.00,50.90
129.00,48.69
130.00,40.93
131.00,46.90
132.00,42.95
133.00,38.66
134.00,48.54
135.00,45.14
136.00,40.97
137.00,42.10
138.00,38.18
139.00,51.83
140.00,36.32
141.00,51.21
142.00,47.58
143.00,47.24
144.00,44.80
145.00,45.95
146.00,46.23
147.00,49.03
148.00,52.50
149.00,62.67
150.00,44.26
151.00,41.06
152.00,53.97
153.00,43.47
154.00,53.67
155.00,41.88
156.00,54.95
157.00,45.60
158.00,59.02
159.00,57.61
160.00,48.62
161.00,59.33
162.00,51.78
163.00,58.45
164.00,58.75
165.00,45.36
166.00,61.03
167.00,54.95
168.00,45.41
169.00,58.29
170.00,53.27
171.00,53.54
172.00,57.22
173.00,47.54
174.00,45.26
175.00,57.80
176.00,64.46
177.00,50.36
178.00,63.54
179.00,66.24
180.00,57.42
181.00,55.05
182.00,55.60
183.00,55.43
184.00,60.20
185.00,58.86
186.00,63.89
187.00,66.66
188.00,58.36
189.00,57.99
190.00,63.90
191.00,68.77
192.00,56.98
193.00,53.47
194.00,67.06
195.00,64.18
196.00,64.80
197.00,68.61
198.00,66.88
199.00,55.36
200.00,58.75
201.00,63.51
202.00,63.00
203.00,62.57
204.00,61.04
205.00,53.22
206.00,72.13
207.00,63.98
208.00,61.06
209.00,57.57
210.00,56.69
211.00,71.35
212.00,61.91
213.00,62.67
214.00,72.49
215.00,72.23
216.00,59.95
217.00,70.95
218.00,59.65
219.00,65.47
220.00,70.86
221.00,63.32
222.00,67.07
223.00,59.89
224.00,56.71
225.00,79.59
226.00,68.76
227.00,69.57
228.00,69.33
229.00,59.07
230.00,77.53
231.00,77.69
232.00,73.15
233.00,61.89
234.00,76.63
235.00,81.53
236.00,69.51
237.00,74.73
238.00,73.00
239.00,69.79
240.00,72.73
241.00,58.16
242.00,62.41
243.00,72.72
244.00,71.16
245.00,75.86
246.00,71.11
247.00,68.02
248.00,67.78
249.00,69.81
250.00,75.50
251.00,68.14
252.00,74.50
253.00,78.34
254.00,73.39
255.00,73.40
256.00,73.37
257.00,79.47
258.00,75.09
259.00,75.65
260.00,73.24
261.00,79.12
262.00,68.02
263.00,78.65
264.00,72.68
265.00,81.11
266.00,71.80
267.00,75.97
268.00,72.81
269.00,81.31
270.00,72.54
271.00,83.41
272.00,74.04
273.00,76.05
274.00,72.24
275.00,69.59
276.00,69.90
277.00,72.71
278.00,77.85
279.00,73.92
280.00,77.27
281.00,75.96
282.00,77.76
283.00,72.42
284.00,80.09
285.00,91.06
286.00,71.24
287.00,75.02
288.00,75.40
289.00,80.19
290.00,82.16
291.00,74.82
292.00,78.14
293.00,85.50
294.00,76.49
295.00,76.89
296.00,90.34
297.00,75.43
298.00,83.13
299.00,81.33
300.00,77.90
301.00,72.89
302.00,78.40
303.00,77.89
304.00,81.60
305.00,84.92
306.00,72.66
307.00,66.20
308.00,77.30
309.00,79.30
310.00,81.08
311.00,88.78
312.00,79.92
313.00,75.62
314.00,81.04
315.00,77.09
316.00,83.49
317.00,88.58
318.00,72.35
319.00,78.06
320.00,73.26
321.00,72.95
322.00,87.20
323.00,80.96
324.00,79.88
325.00,77.34
326.00,78.77
327.00,82.40
328.00,77.70
329.00,74.53
330.00,87.17
331.00,76.55
332.00,77.98
333.00,82.92
334.00,80.52
335.00,81.73
336.00,93.14
337.00,86.42
338.00,91.81
339.00,78.89
340.00,75.21
341.00,87.24
342.00,89.53
343.00,79.95
344.00,86.20
345.00,88.08
346.00,77.24
