@relation Dynamic_Log_Rate_s3_alpha0.8
@attribute Time numeric
@attribute log_rate_msg_per_sec numeric
@data
0.00,11.11
1.00,12.80
2.00,26.22
3.00,28.96
4.00,26.94
5.00,29.14
6.00,21.42
7.00,25.35
8.00,25.92
9.00,20.98
10.00,27.66
11.00,27.78
12.00,27.09
13.00,26.74
14.00,36.72
15.00,23.73
16.00,19.53
17.00,18.88
18.00,24.23
19.00,25.84
20.00,14.08
21.00,23.77
22.00,40.13
23.00,24.53
24.00,33.06
25.00,34.12
26.00,26.01
27.00,32.94
28.00,22.32
29.00,27.46
30.00,44.15
31.00,25.49
32.00,30.99
33.00,28.49
34.00,30.28
35.00,36.72
36.00,34.57
37.00,37.89
38.00,36.01
39.00,42.36
40.00,25.84
41.00,44.42
42.00,31.43
43.00,35.31
44.00,35.24
45.00,27.36
46.00,31.76
47.00,43.07
48.00,31.52
49.00,34.00
50.00,40.28
51.00,40.17
52.00,36.43
53.00,43.64
54.00,43.12
55.00,36.61
56.00,32.60
57.00,48.29
58.00,37.11
59.00,44.59
60.00,42.45
61.00,39.74
62.00,33.88
63.00,56.00
64.00,42.42
65.00,42.71
66.00,49.30
67.00,44.13
68.00,40.92
69.00,48.78
70.00,36.03
71.00,54.99
72.00,53.72
73.00,44.49
74.00,36.20
75.00,44.77
76.00,42.89
77.00,46.78
78.00,46.37
79.00,47.36
80.00,53.47
81.00,46.67
82.00,45.57
83.00,44.92
84.00,61.18
85.00,52.56
86.00,48.48
87.00,56.21
88.00,45.14
89.00,38.83
90.00,51.26
91.00,46.74
92.00,49.42
93.00,51.07
94.00,56.08
95.00,57.93
96.00,49.95
97.00,55.41
98.00,53.43
99.00,49.48
100.00,56.00
101.00,55.24
102.00,49.69
103.00,49.38
104.00,57.27
105.00,44.49
106.00,47.54
107.00,56.74
108.00,51.92
109.00,53.87
110.00,61.80
111.00,50.64
112.00,59.92
113.00,57.20
114.00,57.62
115.00,60.10
116.00,57.21
117.00,59.04
118.00,70.32
119.00,56.32
120.00,55.70
121.00,57.53
122.00,70.62
123.00,58.42
124.00,56.76
125.00,67.96
126.00,54.53
127.00,64.20
128.00,60.19
129.00,59.61
130.00,49.17
131.00,75.42
132.00,74.58
133.00,68.26
134.00,59.17
135.00,61.39
136.00,64.69
137.00,79.56
138.00,71.78
139.00,62.18
140.00,57.22
141.00,62.46
142.00,61.02
143.00,63.43
144.00,66.77
145.00,78.29
146.00,60.70
147.00,70.29
148.00,76.65
149.00,71.72
150.00,70.74
151.00,69.48
152.00,63.57
153.00,67.39
154.00,78.26
155.00,73.89
156.00,63.18
157.00,66.41
158.00,59.95
159.00,63.03
160.00,59.84
161.00,61.62
162.00,67.30
163.00,65.37
164.00,72.86
165.00,78.72
166.00,76.65
167.00,70.55
168.00,69.38
169.00,68.57
170.00,67.51
171.00,71.22
172.00,82.67
173.00,80.97
174.00,74.88
