@relation 'total_s1_dynamic_rate_d10_alpha0.5_total'

@attribute Time numeric
@attribute target_send_rate numeric
@attribute total_size_bytes numeric

@data
0.0000,10.0000,92147.6268
1.0000,10.0000,184295.2536
2.0000,10.0000,276442.8804
3.0000,11.9500,400070.7924
4.0000,10.0000,492218.4192
5.0000,10.0000,584366.0460
6.0000,10.0000,676513.6728
7.0000,23.8200,991767.7308
8.0000,10.0000,1083915.3576
9.0000,10.0000,1176062.9844
10.0000,10.0000,1268210.6112
11.0000,13.9300,1423803.1206
12.0000,13.6800,1575359.6958
13.0000,19.2000,1816029.6936
14.0000,22.4900,2109812.5830
15.0000,27.4600,2483829.8400
16.0000,10.0000,2575977.4668
17.0000,10.0000,2668125.0936
18.0000,10.0000,2760272.7204
19.0000,10.0000,2852420.3472
20.0000,10.0000,2944567.9740
21.0000,10.0000,3036715.6008
22.0000,10.0000,3128863.2276
23.0000,10.0000,3221010.8544
24.0000,10.0000,3313158.4812
25.0000,11.9200,3436302.0810
26.0000,16.8000,3638227.1124
27.0000,10.0000,3730374.7392
28.0000,10.0000,3822522.3660
29.0000,10.0000,3914669.9928
30.0000,12.5900,4048629.8958
31.0000,18.3600,4275739.1556
32.0000,10.0000,4367886.7824
33.0000,30.9500,4798245.6780
34.0000,10.0000,4890393.3048
35.0000,15.2900,5067941.2950
36.0000,11.6000,5185918.8996
37.0000,10.0000,5278066.5264
38.0000,24.3100,5601231.0150
39.0000,10.0000,5693378.6418
40.0000,29.3000,6097100.3730
41.0000,10.0000,6189247.9998
42.0000,28.4900,6579893.3046
43.0000,10.0000,6672040.9314
44.0000,10.0000,6764188.5582
45.0000,10.0000,6856336.1850
46.0000,10.4200,6955264.1808
47.0000,13.9900,7111825.3140
48.0000,10.0000,7203972.9408
49.0000,24.5800,7531496.2380
50.0000,10.0000,7623643.8648
51.0000,16.5300,7821210.0876
52.0000,18.5200,8050902.3450
53.0000,16.3400,8245401.2580
54.0000,10.0000,8337548.8848
55.0000,10.0000,8429696.5116
56.0000,20.7700,8695712.1750
57.0000,10.0000,8787859.8018
58.0000,10.0000,8880007.4286
59.0000,22.5000,9173951.7552
60.0000,21.1500,9446102.0382
61.0000,18.3300,9672726.9858
62.0000,16.6800,9872714.7690
63.0000,10.5900,9974387.2002
64.0000,10.0000,10066534.8270
65.0000,13.2800,10211633.9076
66.0000,10.0000,10303781.5344
67.0000,19.0400,10541868.5346
68.0000,22.8500,10841463.1686
69.0000,10.0000,10933610.7954
70.0000,10.0000,11025758.4222
71.0000,21.6300,11305657.6986
72.0000,19.8800,11557305.4368
73.0000,34.7400,12048849.0918
74.0000,10.0000,12140996.7186
75.0000,10.0000,12233144.3454
76.0000,23.9000,12549689.9022
77.0000,20.7400,12815221.2534
78.0000,10.0000,12907368.8802
79.0000,10.0000,12999516.5070
80.0000,12.4900,13131862.0362
81.0000,10.0000,13224009.6630
82.0000,26.2300,13578170.1246
83.0000,10.0000,13670317.7514
84.0000,21.9200,13954898.7114
85.0000,47.2600,14648561.9406
86.0000,10.0000,14740709.5674
87.0000,29.8400,15153148.9158
88.0000,10.0000,15245296.5426
89.0000,14.3600,15407830.8582
90.0000,33.4400,15878387.6562
91.0000,38.2200,16426111.5120
92.0000,23.7000,16739428.3218
93.0000,27.9300,17121033.1350
94.0000,33.6000,17594172.9306
95.0000,10.0000,17686320.5574
96.0000,16.6300,17885501.1540
97.0000,27.2800,18256612.5384
98.0000,20.5900,18519722.3292
99.0000,35.0600,19016431.9794
100.0000,25.9600,19366233.6324
101.0000,16.2100,19558633.8594
102.0000,23.2600,19864847.4252
103.0000,10.0000,19956995.0520
104.0000,30.2100,20375407.5828
105.0000,31.6100,20816421.3444
106.0000,30.1900,21234511.0008
107.0000,31.7700,21678107.7600
108.0000,36.1000,22191606.8958
109.0000,12.5600,22325082.4866
110.0000,15.3900,22504244.8506
111.0000,40.2000,23083933.3038
112.0000,27.9700,23466183.8664
113.0000,10.0000,23558331.4932
114.0000,11.9200,23681475.0930
115.0000,10.0000,23773622.7198
116.0000,68.0800,24803398.5324
117.0000,58.7100,25681907.5386
118.0000,30.2600,26101127.2566
119.0000,34.0100,26580885.9840
120.0000,12.5200,26713715.8254
121.0000,24.2900,27036557.4396
122.0000,39.4100,27603492.3414
123.0000,31.6100,28044506.1030
124.0000,35.5100,28548480.4344
125.0000,10.0000,28640628.0612
126.0000,31.5000,29079866.0118
127.0000,43.1600,29707339.9236
128.0000,36.6500,30229718.1144
129.0000,16.3600,30424539.9018
130.0000,30.1300,30841660.9338
131.0000,12.8300,30979495.3332
132.0000,22.4200,31272148.1610
133.0000,26.3700,31628568.7458
134.0000,38.9200,32187593.2170
135.0000,10.0000,32279740.8438
136.0000,19.3300,32522509.5276
137.0000,21.0800,32793529.7490
138.0000,19.6300,33041141.5536
139.0000,60.4500,33947740.6602
140.0000,40.8100,34537276.7922
141.0000,36.9300,35064175.2288
142.0000,40.3500,35646285.2424
143.0000,10.0000,35738432.8692
144.0000,25.8100,36085812.9618
145.0000,29.0800,36485983.0710
146.0000,10.0000,36578130.6978
147.0000,39.0400,37139092.4172
148.0000,21.8400,37422381.8778
149.0000,10.0000,37514529.5046
150.0000,30.2600,37933749.2226
151.0000,32.5100,38389292.3460
152.0000,35.6700,38895849.6756
153.0000,11.0700,39005271.1002
154.0000,51.1800,39762217.7748
155.0000,24.2500,40084413.6396
156.0000,37.6300,40622612.6916
157.0000,35.1000,41119968.0912
158.0000,20.4200,41380333.4472
159.0000,50.7100,42129692.5656
160.0000,31.3400,42566347.5180
161.0000,44.7900,43220135.7192
162.0000,41.3500,43818389.4690
163.0000,32.1300,44267797.9728
164.0000,44.8700,44922877.6734
165.0000,39.4300,45490135.4502
166.0000,50.0900,46229485.4526
167.0000,40.5400,46814662.7760
168.0000,31.2400,47249703.3552
169.0000,22.3500,47541226.1214
170.0000,41.3800,48139964.1834
171.0000,32.0800,48588565.5006
172.0000,58.3100,49460617.0122
173.0000,46.2000,50137167.8814
174.0000,29.4700,50543634.0480
175.0000,29.0700,50943642.7200
176.0000,45.3600,51606632.8512
177.0000,50.5600,52353570.4092
178.0000,38.7300,52909527.5706
179.0000,29.9600,53323904.1678
180.0000,27.4800,53698244.2998
181.0000,63.0600,54646978.5576
182.0000,27.5500,55022448.7506
183.0000,54.9100,55839611.5602
184.0000,37.9500,56382976.6074
185.0000,26.6600,56744078.8758
186.0000,10.0000,56836226.5026
187.0000,27.9600,57218315.6274
188.0000,34.8100,57710989.3440
189.0000,52.8900,58495541.8068
190.0000,62.6300,59437334.2578
191.0000,20.8500,59704641.4200
192.0000,41.2600,60301442.2332
193.0000,57.9900,61168327.7496
194.0000,29.1300,61569305.0454
195.0000,37.2800,62101853.7894
196.0000,10.0000,62194001.4162
197.0000,36.1600,62708469.1764
198.0000,32.5000,63163850.8626
199.0000,27.4000,63536899.4952
200.0000,31.7600,63980334.8172
201.0000,34.5200,64468326.8502
202.0000,46.9200,65156501.2092
203.0000,82.1500,66413419.3866
204.0000,37.6600,66952102.7508
205.0000,30.4900,67375035.5280
206.0000,35.2400,67874651.0508
207.0000,41.7700,68479685.1696
208.0000,48.8800,69199501.2510
209.0000,35.2800,69699762.5232
210.0000,34.8600,70193243.4264
211.0000,16.0800,70383544.9680
212.0000,55.5400,71210878.3314
213.0000,71.5900,72297318.6570
214.0000,48.6500,73013421.6792
215.0000,60.0900,73914209.0412
216.0000,36.8200,74439331.6668
217.0000,27.4500,74813187.4866
218.0000,29.0700,75213196.1586
219.0000,36.3200,75730246.9164
220.0000,32.3400,76183045.6050
221.0000,28.0200,76566103.3542
222.0000,33.8700,77043601.9590
223.0000,33.9200,77521907.7504
224.0000,61.7600,78449655.1512
225.0000,42.2800,79062922.5756
226.0000,65.0900,80044428.6174
227.0000,37.3700,80578430.2980
228.0000,20.9400,80847190.3962
229.0000,56.7300,81693734.8050
230.0000,49.2800,82420008.3810
231.0000,54.2700,83226839.1996
232.0000,56.9100,84076289.4810
233.0000,78.4500,85273475.8356
234.0000,43.4200,85905147.1188
235.0000,35.2400,86404762.6416
236.0000,33.3500,86873866.5036
237.0000,10.0000,86966014.1304
238.0000,10.0000,87058161.7572
239.0000,35.2200,87557454.4056
240.0000,39.2200,88121321.9976
241.0000,55.8000,88952852.7324
242.0000,18.1000,89175764.6208
243.0000,80.3900,90404269.8228
244.0000,50.8000,91155081.8772
245.0000,50.5800,91902342.3102
246.0000,53.0500,92689477.7706
247.0000,27.7000,93067369.5240
248.0000,73.2000,94179801.2646
249.0000,47.8700,94883312.1726
250.0000,42.5500,95500938.4056
251.0000,46.7700,96186691.2042
252.0000,44.3400,96833214.7242
253.0000,70.7000,97905287.1246
254.0000,53.3400,98697104.2686
255.0000,53.6700,99494248.8456
256.0000,50.4400,100239249.1554
257.0000,31.7500,100682523.0396
258.0000,45.7700,101352132.1026
259.0000,41.3400,101950224.4152
260.0000,43.8000,102588030.3180
261.0000,83.6500,103869164.0994
262.0000,32.4800,104324222.9112
263.0000,41.4200,104923606.7226
264.0000,69.0600,105969203.3964
265.0000,48.3400,106680301.8606
266.0000,36.0900,107193639.5592
267.0000,35.5800,107698743.9522
268.0000,76.8000,108869293.1424
269.0000,58.2100,109739730.2808
270.0000,68.3800,110774349.2142
271.0000,10.0000,110866496.8410
272.0000,21.7600,111148494.8028
273.0000,26.5400,111507659.8230
274.0000,22.2500,111797568.2154
275.0000,41.7900,112402925.2092
276.0000,47.3600,113098202.8122
277.0000,56.6100,113942809.9728
278.0000,60.8900,114856512.3234
279.0000,42.7000,115476560.1168
280.0000,61.4700,116399625.8346
281.0000,35.6400,116905698.8520
282.0000,57.9600,117772100.0562
283.0000,38.6500,118326765.7188
284.0000,42.8500,118949235.0726
285.0000,41.1300,119543937.2004
286.0000,33.4300,120014332.5612
287.0000,35.2000,120513302.3346
288.0000,39.0500,121074425.4918
