Time,target_send_rate,total_size_bytes
0.0000,10.0000,92147.6268
1.0000,10.0000,184295.2536
2.0000,10.0000,276442.8804
3.0000,10.0000,368590.5072
4.0000,10.0000,460738.1340
5.0000,10.0000,552885.7608
6.0000,14.3300,714935.7642
7.0000,10.0000,807083.3910
8.0000,10.0000,899231.0178
9.0000,10.0000,991378.6446
10.0000,10.0000,1083526.2714
11.0000,10.0000,1175673.8982
12.0000,10.0000,1267821.5250
13.0000,10.0000,1359969.1518
14.0000,10.0000,1452116.7786
15.0000,10.0000,1544264.4054
16.0000,10.0000,1636412.0322
17.0000,10.0000,1728559.6590
18.0000,10.0000,1820707.2858
19.0000,11.8000,1941913.6374
20.0000,10.0000,2034061.2642
21.0000,10.0000,2126208.8910
22.0000,10.0000,2218356.5178
23.0000,10.0000,2310504.1446
24.0000,15.0400,2484016.2006
25.0000,11.5900,2601832.3674
26.0000,10.0000,2693979.9942
27.0000,25.6300,3038454.2142
28.0000,10.0000,3130601.8410
29.0000,10.0000,3222749.4678
30.0000,21.7600,3504747.4296
31.0000,12.0000,3629182.5282
32.0000,15.7200,3813672.3246
33.0000,10.0000,3905819.9514
34.0000,13.0300,4046883.0984
35.0000,16.9900,4251875.4396
36.0000,13.4000,4398911.7690
37.0000,15.2600,4575975.4470
38.0000,10.0000,4668123.0738
39.0000,15.7700,4853420.0574
40.0000,10.0000,4945567.6842
41.0000,13.2400,5090021.0154
42.0000,18.5600,5320359.0222
43.0000,26.5200,5679201.1674
44.0000,18.2300,5904211.7412
45.0000,31.4300,6342319.6302
46.0000,18.9900,6579599.4438
47.0000,19.9800,6832861.5558
48.0000,11.0000,6941152.9188
49.0000,10.0000,7033300.5456
50.0000,12.3100,7162740.2028
51.0000,25.2100,7500434.0538
52.0000,28.3400,7888657.7982
53.0000,16.1400,8079927.9642
54.0000,26.3800,8436509.9862
55.0000,22.9300,8737396.1190
56.0000,22.3200,9028434.5730
57.0000,18.5800,9259095.4548
58.0000,15.4900,9439872.1920
59.0000,30.4100,9861513.4704
60.0000,28.3800,10250382.9648
61.0000,21.8200,10533349.5510
62.0000,27.4900,10907851.1202
63.0000,22.8700,11207768.6292
64.0000,28.2500,11594539.4376
65.0000,20.5600,11857164.9162
66.0000,11.4700,11973043.8348
67.0000,25.7400,12319293.8658
68.0000,22.9600,12620664.3108
69.0000,21.1200,12892330.2816
70.0000,21.1900,13165126.3140
71.0000,22.8100,13464075.1986
72.0000,29.3900,13869249.8658
73.0000,27.5500,14244720.0588
74.0000,22.7800,14543184.6312
75.0000,37.1500,15073634.6898
76.0000,30.7400,15500603.4006
77.0000,17.7500,15717864.9810
78.0000,25.9000,16066698.0096
79.0000,34.4000,16552752.7944
80.0000,32.4500,17007327.2940
81.0000,32.3600,17460448.8570
82.0000,28.8900,17857551.6564
83.0000,29.2700,18260789.0754
84.0000,19.2000,18501459.0732
85.0000,31.8500,18946347.3312
86.0000,36.0600,19459200.7176
87.0000,23.9600,19776714.8988
88.0000,33.4500,20247433.1340
89.0000,32.5600,20703783.4446
90.0000,41.3400,21301875.7572
91.0000,22.4900,21595658.6466
92.0000,34.9600,22090753.9236
93.0000,28.0000,22473488.7978
94.0000,33.5200,22945337.0946
95.0000,31.1200,23378440.4250
96.0000,31.8900,23823974.4324
97.0000,20.7100,24089021.4714
98.0000,43.3400,24719401.2558
99.0000,31.2500,25154603.2722
100.0000,39.8300,25728318.5430
101.0000,34.4600,26215341.9516
102.0000,34.8000,26707854.2304
103.0000,37.1000,27237497.1024
104.0000,34.7700,27729525.0696
105.0000,29.2800,28132923.9258
106.0000,27.2400,28503389.5608
107.0000,32.9700,28966358.8032
108.0000,33.5300,29438368.5378
109.0000,39.9900,30014666.8068
110.0000,28.9100,30412092.4812
111.0000,37.9600,30955618.9662
112.0000,38.9200,31514643.4374
113.0000,33.9500,31993433.5410
114.0000,41.7000,32597337.5982
115.0000,47.8700,33300848.5062
116.0000,35.9300,33811603.2072
117.0000,38.7000,34367076.0564
118.0000,40.8500,34957257.9384
119.0000,37.9700,35500945.8606
120.0000,52.7600,36283399.6380
121.0000,39.9000,36858244.9704
122.0000,44.5100,37507512.9258
123.0000,47.2100,38200368.9684
124.0000,40.5100,38785061.9796
125.0000,50.5700,39532160.9748
126.0000,37.5400,40068907.0902
127.0000,50.1200,40808741.4042
128.0000,48.4700,41521938.5538
129.0000,45.4100,42185735.8716
130.0000,48.7700,42903776.1420
131.0000,45.9900,43576936.8264
132.0000,49.4700,44306277.7122
133.0000,45.1600,44966039.0958
134.0000,32.4900,45421259.3448
135.0000,38.8300,45978830.8800
136.0000,42.7300,46599362.9856
137.0000,53.6000,47395377.5010
138.0000,51.7700,48161848.9794
139.0000,50.4300,48906687.8520
140.0000,47.5000,49604225.5782
141.0000,42.9600,50228470.7430
142.0000,36.3300,50745682.9380
143.0000,44.1600,51389300.5860
144.0000,53.6100,52185476.5386
145.0000,51.1000,52941131.7138
146.0000,57.6800,53803012.6722
147.0000,45.1800,54463096.9308
148.0000,47.5600,55161603.2808
149.0000,41.9200,55769058.9600
150.0000,49.3400,56496301.1604
151.0000,51.9900,57266324.2608
152.0000,48.1200,57973871.1030
153.0000,52.9400,58759230.7524
154.0000,44.0200,59400588.2772
155.0000,47.5000,60098126.0034
156.0000,52.0600,60869279.1654
157.0000,57.3100,61725186.9414
158.0000,61.4300,62647606.9092
159.0000,60.9700,63562600.7586
160.0000,47.7800,64264658.7306
161.0000,51.4500,65025964.2138
162.0000,50.6400,65774193.2706
163.0000,51.6500,66538727.5008
164.0000,54.6600,67351854.3762
165.0000,50.8100,68102827.8684
166.0000,58.6700,68980691.1252
167.0000,56.2200,69819002.2290
168.0000,56.2700,70658120.5194
169.0000,52.6100,71438152.7364
170.0000,48.3200,72148928.3256
171.0000,58.4100,73022594.2110
172.0000,56.8900,73871721.6180
173.0000,56.7400,74718427.4646
174.0000,58.3100,75590478.9762
175.0000,53.1700,76379551.6854
176.0000,48.3000,77090004.4002
177.0000,55.6000,77918306.3874
178.0000,58.7000,78796653.9564
179.0000,60.5100,79704221.6874
180.0000,56.5700,80548183.0986
181.0000,56.2100,81386332.7646
182.0000,57.9900,82253218.2810
183.0000,58.9600,83135763.2214
184.0000,69.4700,84187978.8270
185.0000,63.0100,85135905.8982
186.0000,61.6700,86062200.3630
187.0000,63.0200,87010288.8714
188.0000,64.2800,87978718.4868
189.0000,56.8600,88827361.5816
190.0000,55.5500,89654856.3822
191.0000,53.6200,90451193.7726
192.0000,64.1700,91417847.5770
193.0000,45.9800,92090846.8242
194.0000,62.2900,93027150.4050
195.0000,61.5700,93951830.4960
196.0000,54.6600,94764957.3714
197.0000,56.1800,95602622.7258
198.0000,68.6600,96641761.9050
199.0000,57.4300,97499606.9292
200.0000,57.7300,98362295.0742
201.0000,61.4600,99285199.3542
202.0000,65.7800,100277844.5736
203.0000,57.4900,101136658.2222
204.0000,59.6600,102030503.7774
205.0000,70.8600,103105159.1760
206.0000,67.7400,104129446.1178
207.0000,63.1500,105079633.3116
208.0000,72.1400,106174952.6922
209.0000,77.9100,107363421.4290
210.0000,64.3300,108332658.2316
211.0000,69.0000,109377286.2810
212.0000,75.9900,110534759.0448
213.0000,73.9000,111658491.4002
214.0000,65.6700,112649360.8086
215.0000,51.3600,113409213.3552
216.0000,60.7000,114319848.3960
217.0000,69.6900,115375615.6230
218.0000,70.1800,116439293.2806
219.0000,63.6400,117397390.9050
220.0000,58.6000,118274124.1002
221.0000,75.3300,119420941.9986
222.0000,53.0000,120207270.2724
223.0000,66.4600,121210893.2322
224.0000,73.6800,122331073.9662
225.0000,70.5600,123400886.2440
226.0000,67.0200,124413549.6960
227.0000,61.1600,125331610.8552
228.0000,69.5300,126384795.0846
229.0000,69.6600,127440078.0000
230.0000,74.8100,128578501.1556
231.0000,65.5500,129567433.3158
232.0000,76.2700,130729426.3260
233.0000,67.4000,131748224.3976
234.0000,70.7100,132820458.2358
235.0000,77.1200,133996173.4212
236.0000,81.9300,135249539.9766
237.0000,71.2000,136329684.2454
238.0000,72.3800,137428878.1224
239.0000,63.5800,138386007.1230
240.0000,65.5500,139374939.2832
241.0000,70.6800,140446688.8092
242.0000,70.9500,141522797.1438
243.0000,69.2600,142571622.5646
244.0000,76.4400,143736360.0096
245.0000,73.0400,144846208.7526
246.0000,71.6600,145933779.1398
247.0000,69.4100,146985026.1210
248.0000,64.2200,147952487.1126
249.0000,76.4900,149118031.7442
250.0000,70.8000,150191718.5184
251.0000,71.6100,151278481.7190
252.0000,71.6600,152366052.1062
253.0000,67.2900,153383074.3668
254.0000,70.9400,154459021.2642
255.0000,72.2700,155556439.3302
256.0000,69.7200,156612690.8694
257.0000,75.6300,157764351.8886
258.0000,74.4700,158897286.1740
259.0000,69.0700,159943044.2850
260.0000,68.9600,160987026.5850
261.0000,81.7000,162236680.0812
262.0000,63.9300,163199459.3892
263.0000,79.7500,164417632.6002
264.0000,69.3900,165468556.7064
265.0000,77.5700,166651536.5730
266.0000,88.6400,168013227.5970
267.0000,64.5200,168985531.7094
268.0000,74.7800,170123470.5528
269.0000,76.0400,171281750.5032
270.0000,80.3600,172509771.3930
271.0000,77.2900,173688231.0138
272.0000,72.2200,174784841.8932
273.0000,71.2200,175865309.0364
274.0000,83.6100,177145797.0684
275.0000,73.0800,178256291.5608
276.0000,80.2100,179481890.8902
277.0000,82.1100,180738163.3182
278.0000,81.0000,181976516.1996
279.0000,78.5000,183174509.7408
280.0000,79.0500,184381382.3370
281.0000,70.0600,185443122.7464
282.0000,71.0200,186520361.1426
283.0000,77.2100,187697529.2646
284.0000,63.4400,188652398.1420
285.0000,70.0300,189713654.2392
286.0000,80.1500,190938284.9448
287.0000,72.5200,192039738.9450
288.0000,83.6900,193321518.4758
289.0000,67.5900,194343383.8572
290.0000,77.6700,195527978.0976
291.0000,87.2200,196866745.0164
292.0000,71.0000,197943660.5376
