@RELATION rate_vs_increase_training

@ATTRIBUTE target_send_rate NUMERIC
@ATTRIBUTE sum_size_increase_bytes NUMERIC

@DATA
535.0,1479003.0
696.0,1600513.5
557.0,1523807.0
643.0,1742072.0
597.0,1664697.0
165.0,456702.5
919.0,2479010.0
495.0,1349877.0
825.0,2261284.0
65.0,194559.0
141.0,384483.0
926.0,2551557.0
828.0,1856183.5
656.0,1836743.0
331.0,702763.6666666666
665.0,1840623.0
249.0,683800.5
908.0,2545076.0
944.0,2582766.0
305.0,833843.5
730.0,2054350.0
976.0,2669407.0
49.0,111305.66666666667
846.0,1855934.5
2.0,5870.5
544.0,1470478.0
350.0,977558.0
905.0,2449109.0
536.0,1494833.0
344.0,952838.5
995.0,2781590.0
481.0,973139.3333333334
576.0,1351732.0
33.0,93373.0
31.0,73661.33333333333
231.0,628624.0
814.0,2216850.0
192.0,520148.3333333333
333.0,906017.0
3.0,8975.0
204.0,532175.6666666666
514.0,1418619.0
823.0,2214328.0
306.0,789737.3333333334
109.0,237319.33333333334
430.0,1186110.0
77.0,197509.5
84.0,225564.66666666666
286.0,781451.0
82.0,232856.0
615.0,1679107.0
790.0,2193474.0
746.0,2057120.0
398.0,1113761.0
323.0,909325.5
519.0,1442156.0
917.0,2553705.0
933.0,2601039.0
5.0,9879.0
732.0,1646793.0
465.0,1286033.5
97.0,206034.66666666666
266.0,738108.5
357.0,1002993.5
869.0,2441955.0
943.0,2577960.0
380.0,1059412.5
971.0,2710545.0
381.0,1048777.5
490.0,1365499.5
118.0,329428.5
816.0,1754783.0
250.0,700982.0
523.0,1432993.0
9.0,26520.0
196.0,544155.5
604.0,1637180.0
81.0,224657.5
784.0,2191798.0
588.0,1393535.5
620.0,1704341.0
239.0,674273.0
290.0,808544.0
211.0,450419.3333333333
718.0,1973612.0
359.0,995424.5
449.0,1243619.5
227.0,612261.0
857.0,2355174.0
947.0,2636027.0
797.0,2195076.0
501.0,1382679.0
464.0,1265432.5
362.0,986866.5
468.0,1158925.0
936.0,2104084.0
428.0,1162975.0
7.0,18681.0
155.0,440154.5
541.0,1501385.0
440.0,1224556.0
482.0,1323401.0
422.0,1152871.0
852.0,1892707.5
950.0,2680048.0
334.0,920347.5
803.0,2217765.0
935.0,2587078.0
567.0,1541911.0
595.0,1650773.0
530.0,1460245.0
582.0,1378505.5
708.0,1696931.0
448.0,1251379.5
453.0,1247002.0
228.0,605468.3333333334
352.0,955492.5
743.0,2027402.0
212.0,581141.5
79.0,184308.0
148.0,405250.5
302.0,825504.5
629.0,1732465.0
778.0,2107324.0
506.0,1381575.0
342.0,884808.0
485.0,1339111.0
660.0,1553070.5
133.0,286693.0
704.0,1907251.0
311.0,858772.5
765.0,2090535.0
630.0,1459437.0
0.0,0.0
316.0,875543.0
707.0,1980246.0
547.0,1530368.0
873.0,2404525.0
532.0,1480149.0
477.0,1298710.5
404.0,1102428.0
172.0,488396.0
125.0,339477.0
394.0,1092206.0
420.0,1077785.0
552.0,1272559.0
904.0,2491113.0
90.0,244581.66666666666
940.0,2549318.0
181.0,381064.3333333333
274.0,759025.5
896.0,2504705.0
69.0,187181.0
291.0,810714.5
131.0,346347.0
300.0,756790.0
424.0,1195193.0
326.0,906848.0
144.0,370231.0
423.0,1186064.5
581.0,1587408.0
135.0,379945.0
450.0,1167708.0
164.0,454641.5
28.0,75113.0
909.0,2489587.0
193.0,411981.3333333333
388.0,1066590.0
638.0,1771554.0
169.0,366024.0
706.0,1921708.0
140.0,398038.5
173.0,479450.0
6.0,16517.0
837.0,2297995.0
478.0,1331988.0
73.0,178206.66666666666
684.0,1590298.0
956.0,2631776.0
238.0,649313.0
145.0,304081.0
793.0,2155270.0
234.0,614318.6666666666
220.0,615819.0
924.0,2056620.0
500.0,1371715.0
132.0,341548.3333333333
991.0,2747622.0
923.0,2603845.0
185.0,510083.0
41.0,114953.0
611.0,1710859.0
108.0,300395.6666666667
589.0,1578837.0
56.0,145446.5
405.0,1134450.0
442.0,1227105.0
758.0,2079435.0
861.0,2435865.0
24.0,60165.0
467.0,1318475.0
539.0,1506274.0
531.0,1466844.0
796.0,2191394.0
695.0,1910584.0
927.0,2571636.0
338.0,941467.5
51.0,144552.5
507.0,1400688.0
516.0,1217936.5
921.0,2536631.0
633.0,1726935.0
264.0,688185.0
587.0,1628489.0
711.0,1942232.0
736.0,2008279.0
833.0,2293541.0
518.0,1436411.0
447.0,1235141.0
18.0,48455.5
716.0,1983402.0
483.0,1301923.5
568.0,1569929.0
433.0,871324.6666666666
367.0,743027.0
83.0,224369.5
61.0,138671.66666666666
649.0,1797834.0
272.0,744283.0
285.0,781336.0
360.0,929802.3333333334
354.0,896197.3333333334
456.0,1179645.3333333333
278.0,768468.0
12.0,30332.0
182.0,499799.0
368.0,1010273.5
882.0,1907938.5
616.0,1708749.0
223.0,488910.0
800.0,2212506.0
994.0,2740288.0
813.0,2250170.0
545.0,1507538.0
583.0,1593720.0
723.0,2016351.0
176.0,488894.5
666.0,1557863.5
628.0,1732704.0
864.0,1912178.0
874.0,2438397.0
393.0,1098451.5
163.0,350914.3333333333
248.0,696118.0
635.0,1726578.0
886.0,2430212.0
670.0,1843297.0
375.0,1035949.5
412.0,1132276.5
74.0,211880.0
113.0,310844.5
570.0,1321917.0
962.0,2609546.0
390.0,994621.3333333334
104.0,296959.5
114.0,304082.0
417.0,1155623.5
525.0,1455957.0
457.0,937002.0
409.0,832997.6666666666
92.0,240472.5
931.0,2542792.0
89.0,244729.0
336.0,860593.3333333334
989.0,2733207.0
922.0,2542385.0
934.0,2568846.0
697.0,1893978.0
594.0,1352300.0
752.0,2103728.0
94.0,258735.0
11.0,22050.666666666668
396.0,1006100.3333333334
533.0,1493884.0
43.0,105615.66666666667
42.0,108222.0
329.0,906463.5
167.0,470503.5
497.0,1368267.0
877.0,2402753.0
598.0,1622915.0
757.0,2087842.0
100.0,277013.0
426.0,1126729.3333333333
178.0,507793.0
444.0,1165368.6666666667
416.0,1159615.0
774.0,1730274.5
883.0,2455692.0
712.0,1946957.0
